OCC_TITLE,OCC_GROUP,TOT_EMP,A_MEAN,A_MEDIAN
Appraisers and Assessors of Real Estate,broad,"60,210","57,040","51,030"
Appraisers and Assessors of Real Estate,detailed,"60,210","57,040","51,030"
Budget Analysts,broad,"58,740","72,560","70,110"
Budget Analysts,detailed,"58,740","72,560","70,110"
Credit Analysts,broad,"66,490","72,590","64,030"
Credit Analysts,detailed,"66,490","72,590","64,030"
Financial Analysts and Advisors,broad,"526,630","90,730","74,590"
Financial Analysts,detailed,"250,670","91,620","78,380"
Personal Financial Advisors,detailed,"183,420","99,920","75,320"
Insurance Underwriters,detailed,"92,540","70,110","63,780"
Financial Examiners,broad,"30,680","86,980","76,890"
Financial Examiners,detailed,"30,680","86,980","76,890"
Credit Counselors and Loan Officers,broad,"329,570","69,540","59,090"
Credit Counselors,detailed,"27,710","44,960","40,280"
Loan Officers,detailed,"301,860","71,800","61,420"
"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,"132,600","49,590","44,210"
"Tax Examiners and Collectors, and Revenue Agents",detailed,"64,790","56,120","50,610"
Tax Preparers,detailed,"67,810","43,350","35,310"
Miscellaneous Financial Specialists,broad,"147,330","68,130","62,510"
"Financial Specialists, All Other",detailed,"147,330","68,130","62,510"
Computer and Mathematical Occupations,major,"3,696,180","82,010","77,860"
Computer Occupations,minor,"3,573,120","81,860","77,840"
Computer and Information Research Scientists,broad,"24,380","109,260","106,290"
Computer and Information Research Scientists,detailed,"24,380","109,260","106,290"
Computer and Information Analysts,broad,"585,120","86,100","82,080"
Computer Systems Analysts,detailed,"507,100","85,320","81,190"
Information Security Analysts,detailed,"78,020","91,210","88,590"
Software Developers and Programmers,broad,"1,442,500","92,820","89,180"
Computer Programmers,detailed,"312,340","80,930","76,140"
"Software Developers, Applications",detailed,"643,830","96,260","92,660"
"Software Developers, Systems Software",detailed,"373,510","104,480","101,410"
Web Developers,detailed,"112,820","67,540","63,160"
Database and Systems Administrators and Network Architects,broad,"618,480","82,960","78,890"
Database Administrators,detailed,"114,910","80,740","78,520"
Network and Computer Systems Administrators,detailed,"362,310","77,910","74,000"
Computer Network Architects,detailed,"141,270","97,700","95,380"
Computer Support Specialists,broad,"706,360","53,660","49,170"
Computer User Support Specialists,detailed,"541,250","50,450","46,620"
Computer Network Support Specialists,detailed,"165,100","64,160","60,180"
Miscellaneous Computer Occupations,broad,"196,280","83,240","82,340"
"Computer Occupations, All Other",detailed,"196,280","83,240","82,340"
Mathematical Science Occupations,minor,"123,070","86,470","78,450"
Actuaries,broad,"20,080","107,740","94,340"
Actuaries,detailed,"20,080","107,740","94,340"
Mathematicians,broad,"3,030","103,310","102,440"
Mathematicians,detailed,"3,030","103,310","102,440"
Operations Research Analysts,broad,"72,680","81,660","74,630"
Operations Research Analysts,detailed,"72,680","81,660","74,630"
Statisticians,broad,"24,950","83,310","79,290"
Statisticians,detailed,"24,950","83,310","79,290"
Miscellaneous Mathematical Science Occupations,broad,"2,330","64,930","57,630"
Mathematical Technicians,detailed,"1,080","60,260","54,230"
"Mathematical Science Occupations, All Other",detailed,"1,240","69,000","60,820"
Architecture and Engineering Occupations,major,"2,380,840","80,100","74,530"
"Architects, Surveyors, and Cartographers",minor,"153,200","71,790","67,510"
"Architects, Except Naval",broad,"100,550","77,850","72,640"
"Architects, Except Landscape and Naval",detailed,"84,210","79,650","74,110"
Landscape Architects,detailed,"16,330","68,570","64,790"
"Surveyors, Cartographers, and Photogrammetrists",broad,"52,650","60,210","57,130"
Cartographers and Photogrammetrists,detailed,"11,290","62,540","58,840"
Surveyors,detailed,"41,360","59,570","56,590"
Engineers,minor,"1,547,580","92,170","87,290"
Aerospace Engineers,broad,"71,500","105,450","103,870"
Aerospace Engineers,detailed,"71,500","105,450","103,870"
Agricultural Engineers,broad,"2,590","78,880","74,450"
Agricultural Engineers,detailed,"2,590","78,880","74,450"
Biomedical Engineers,broad,"19,890","93,960","88,670"
Biomedical Engineers,detailed,"19,890","93,960","88,670"
Chemical Engineers,broad,"33,300","104,340","95,730"
Chemical Engineers,detailed,"33,300","104,340","95,730"
Civil Engineers,broad,"262,170","85,640","80,770"
Civil Engineers,detailed,"262,170","85,640","80,770"
Computer Hardware Engineers,broad,"77,670","106,930","104,250"
Computer Hardware Engineers,detailed,"77,670","106,930","104,250"
Electrical and Electronics Engineers,broad,"303,450","95,380","91,340"
Electrical Engineers,detailed,"168,100","93,380","89,180"
"Electronics Engineers, Except Computer",detailed,"135,350","97,870","94,250"
Environmental Engineers,broad,"53,020","85,520","82,220"
Environmental Engineers,detailed,"53,020","85,520","82,220"
"Industrial Engineers, Including Health and Safety",broad,"254,430","83,190","80,190"
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,"23,850","81,320","78,820"
Industrial Engineers,detailed,"230,580","83,390","80,300"
Marine Engineers and Naval Architects,broad,"6,640","94,040","89,550"
Marine Engineers and Naval Architects,detailed,"6,640","94,040","89,550"
Materials Engineers,broad,"24,190","89,930","87,330"
Materials Engineers,detailed,"24,190","89,930","87,330"
Mechanical Engineers,broad,"258,630","85,930","82,100"
Mechanical Engineers,detailed,"258,630","85,930","82,100"
"Mining and Geological Engineers, Including Mining Safety Engineers",broad,"7,990","96,950","86,870"
"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,"7,990","96,950","86,870"
Nuclear Engineers,broad,"16,400","106,860","101,600"
Nuclear Engineers,detailed,"16,400","106,860","101,600"
Petroleum Engineers,broad,"34,910","149,180","132,320"
Petroleum Engineers,detailed,"34,910","149,180","132,320"
Miscellaneous Engineers,broad,"120,810","94,310","92,680"
"Engineers, All Other",detailed,"120,810","94,310","92,680"
"Drafters, Engineering Technicians, and Mapping Technicians",minor,"680,070","54,490","52,450"
Drafters,broad,"196,460","53,640","50,810"
Architectural and Civil Drafters,detailed,"88,860","51,250","48,800"
Electrical and Electronics Drafters,detailed,"29,600","60,350","57,250"
Mechanical Drafters,detailed,"63,180","54,510","51,520"
"Drafters, All Other",detailed,"14,820","50,930","47,680"
"Engineering Technicians, Except Drafters",broad,"435,650","56,080","54,540"
Aerospace Engineering and Operations Technicians,detailed,"10,540","62,540","62,680"
Civil Engineering Technicians,detailed,"69,830","49,380","47,780"
Electrical and Electronics Engineering Technicians,detailed,"141,150","58,770","58,540"
Electro-Mechanical Technicians,detailed,"15,540","54,160","51,330"
Environmental Engineering Technicians,detailed,"18,020","49,180","46,160"
Industrial Engineering Technicians,detailed,"68,520","54,170","52,020"
Mechanical Engineering Technicians,detailed,"46,090","54,280","52,390"
"Engineering Technicians, Except Drafters, All Other",detailed,"65,960","61,940","60,560"
Surveying and Mapping Technicians,broad,"47,950","43,540","40,670"
Surveying and Mapping Technicians,detailed,"47,950","43,540","40,670"
"Life, Physical, and Social Science Occupations",major,"1,135,030","69,400","60,860"
Life Scientists,minor,"277,080","79,270","70,260"
Agricultural and Food Scientists,broad,"30,490","64,830","59,550"
Animal Scientists,detailed,"2,320","72,930","64,260"
Food Scientists and Technologists,detailed,"15,010","65,340","59,630"
Soil and Plant Scientists,detailed,"13,160","62,830","58,990"
Biological Scientists,broad,"100,620","77,630","70,800"
Biochemists and Biophysicists,detailed,"29,110","91,640","84,320"
Microbiologists,detailed,"19,880","75,230","67,840"
Zoologists and Wildlife Biologists,detailed,"18,530","62,610","57,430"
"Biological Scientists, All Other",detailed,"33,100","75,160","72,720"
Conservation Scientists and Foresters,broad,"27,810","61,890","59,380"
Conservation Scientists,detailed,"18,590","63,330","61,220"
Foresters,detailed,"9,220","59,000","57,110"
Medical Scientists,broad,"109,620","89,390","78,840"
Epidemiologists,detailed,"5,350","73,040","66,330"
"Medical Scientists, Except Epidemiologists",detailed,"104,280","90,230","79,840"
Miscellaneous Life Scientists,broad,"8,550","76,900","66,930"
"Life Scientists, All Other",detailed,"8,550","76,900","66,930"
Physical Scientists,minor,"276,740","84,300","75,530"
Astronomers and Physicists,broad,"19,090","116,440","110,130"
