OCC_TITLE,OCC_GROUP,TOT_EMP,A_MEAN,A_MEDIAN
Interior Designers,detailed,"43,710","54,200","48,500"
Merchandise Displayers and Window Trimmers,detailed,"72,590","29,930","27,470"
Set and Exhibit Designers,detailed,"9,750","53,990","50,000"
"Designers, All Other",detailed,"7,330","52,700","47,020"
"Entertainers and Performers, Sports and Related Workers",minor,"488,570","58,750","39,450"
"Actors, Producers, and Directors",broad,"155,740","89,020","63,400"
Actors,detailed,"63,230",*,*
Producers and Directors,detailed,"92,510","90,240","69,480"
"Athletes, Coaches, Umpires, and Related Workers",broad,"236,100","39,310","29,360"
Athletes and Sports Competitors,detailed,"13,880","71,850","39,050"
Coaches and Scouts,detailed,"206,080","37,610","29,150"
"Umpires, Referees, and Other Sports Officials",detailed,"16,140","33,020","23,900"
Dancers and Choreographers,broad,"17,840","44,540","35,140"
Dancers,detailed,"11,540",*,*
Choreographers,detailed,"6,300","49,930","44,130"
"Musicians, Singers, and Related Workers",broad,"62,450",*,*
Music Directors and Composers,detailed,"23,190","54,560","48,330"
Musicians and Singers,detailed,"39,260",*,*
"Miscellaneous Entertainers and Performers, Sports and Related Workers",broad,"16,440",*,*
"Entertainers and Performers, Sports and Related Workers, All Other",detailed,"16,440",*,*
Media and Communication Workers,minor,"553,780","59,500","51,400"
Announcers,broad,"38,010","41,190","28,310"
Radio and Television Announcers,detailed,"30,530","41,800","29,020"
Public Address System and Other Announcers,detailed,"7,480","38,690","24,990"
"News Analysts, Reporters and Correspondents",broad,"48,460","48,380","36,840"
Broadcast News Analysts,detailed,"4,820","84,710","60,470"
Reporters and Correspondents,detailed,"43,630","44,360","35,600"
Public Relations Specialists,broad,"202,530","63,020","54,940"
Public Relations Specialists,detailed,"202,530","63,020","54,940"
Writers and Editors,broad,"189,680","66,160","58,700"
Editors,detailed,"98,790","62,820","54,150"
Technical Writers,detailed,"47,300","70,290","67,900"
Writers and Authors,detailed,"43,590","69,250","57,750"
Miscellaneous Media and Communication Workers,broad,"75,110","49,650","43,320"
Interpreters and Translators,detailed,"49,060","47,920","42,420"
"Media and Communication Workers, All Other",detailed,"26,040","52,910","45,200"
Media and Communication Equipment Workers,minor,"208,580","48,320","39,830"
Broadcast and Sound Engineering Technicians and Radio Operators,broad,"98,880","46,110","40,690"
Audio and Video Equipment Technicians,detailed,"56,440","45,830","41,250"
Broadcast Technicians,detailed,"27,800","41,630","36,710"
Radio Operators,detailed,"1,160","45,210","44,620"
Sound Engineering Technicians,detailed,"13,480","56,610","46,480"
Photographers,broad,"54,830","37,190","29,280"
Photographers,detailed,"54,830","37,190","29,280"
"Television, Video, and Motion Picture Camera Operators and Editors",broad,"38,780","62,120","48,250"
"Camera Operators, Television, Video, and Motion Picture",detailed,"16,860","52,530","42,530"
Film and Video Editors,detailed,"21,920","69,490","54,490"
Miscellaneous Media and Communication Equipment Workers,broad,"16,090","66,570","67,640"
"Media and Communication Equipment Workers, All Other",detailed,"16,090","66,570","67,640"
Healthcare Practitioners and Technical Occupations,major,"7,755,810","74,740","61,120"
Health Diagnosing and Treating Practitioners,minor,"4,761,110","93,320","74,370"
Chiropractors,broad,"28,850","78,410","65,300"
Chiropractors,detailed,"28,850","78,410","65,300"
Dentists,broad,"112,300","168,870","151,300"
"Dentists, General",detailed,"96,000","164,570","146,340"
Oral and Maxillofacial Surgeons,detailed,"5,280","218,960",#
Orthodontists,detailed,"5,570","196,270",#
Prosthodontists,detailed,290,"128,310","91,260"
"Dentists, All Other Specialists",detailed,"5,160","170,340","163,450"
Dietitians and Nutritionists,broad,"59,530","56,300","55,920"
Dietitians and Nutritionists,detailed,"59,530","56,300","55,920"
Optometrists,broad,"32,040","111,640","101,290"
Optometrists,detailed,"32,040","111,640","101,290"
Pharmacists,broad,"287,420","116,500","119,280"
Pharmacists,detailed,"287,420","116,500","119,280"
Physicians and Surgeons,broad,"623,380","191,880",#
Anesthesiologists,detailed,"30,200","235,070",#
Family and General Practitioners,detailed,"120,860","183,940","176,530"
"Internists, General",detailed,"46,410","188,440","186,850"
Obstetricians and Gynecologists,detailed,"21,730","212,570",#
"Pediatricians, General",detailed,"30,890","170,530","157,610"
Psychiatrists,detailed,"25,040","182,660","178,950"
Surgeons,detailed,"41,030","233,150",#
"Physicians and Surgeons, All Other",detailed,"307,220","187,200",#
Physician Assistants,broad,"88,110","94,350","92,970"
Physician Assistants,detailed,"88,110","94,350","92,970"
Podiatrists,broad,"8,850","135,070","118,210"
Podiatrists,detailed,"8,850","135,070","118,210"
Therapists,broad,"600,660","72,970","71,150"
Occupational Therapists,detailed,"108,410","77,890","76,940"
Physical Therapists,detailed,"195,670","82,180","81,030"
Radiation Therapists,detailed,"16,950","81,740","79,140"
Recreational Therapists,detailed,"18,640","45,520","43,180"
Respiratory Therapists,detailed,"118,640","57,880","56,290"
Speech-Language Pathologists,detailed,"125,050","73,970","70,810"
Exercise Physiologists,detailed,"6,010","48,790","46,020"
"Therapists, All Other",detailed,"11,280","58,610","55,350"
Veterinarians,broad,"59,230","96,140","86,640"
Veterinarians,detailed,"59,230","96,140","86,640"
Registered Nurses,broad,"2,661,890","68,910","66,220"
Registered Nurses,detailed,"2,661,890","68,910","66,220"
Nurse Anesthetists,broad,"35,430","157,690","151,090"
Nurse Anesthetists,detailed,"35,430","157,690","151,090"
Nurse Midwives,broad,"5,460","92,230","92,290"
Nurse Midwives,detailed,"5,460","92,230","92,290"
Nurse Practitioners,broad,"113,370","95,070","92,670"
Nurse Practitioners,detailed,"113,370","95,070","92,670"
Audiologists,broad,"11,550","74,360","71,170"
Audiologists,detailed,"11,550","74,360","71,170"
Miscellaneous Health Diagnosing and Treating Practitioners,broad,"33,070","86,720","72,870"
"Health Diagnosing and Treating Practitioners, All Other",detailed,"33,070","86,720","72,870"
Health Technologists and Technicians,minor,"2,849,330","44,480","40,870"
Clinical Laboratory Technologists and Technicians,broad,"319,720","50,020","48,740"
Medical and Clinical Laboratory Technologists,detailed,"162,630","59,460","58,430"
Medical and Clinical Laboratory Technicians,detailed,"157,080","40,240","37,970"
Dental Hygienists,broad,"192,330","71,530","71,110"
Dental Hygienists,detailed,"192,330","71,530","71,110"
Diagnostic Related Technologists and Technicians,broad,"355,290","59,750","58,640"
Cardiovascular Technologists and Technicians,detailed,"51,010","53,990","53,210"
Diagnostic Medical Sonographers,detailed,"58,250","67,170","66,410"
Nuclear Medicine Technologists,detailed,"20,020","71,970","71,120"
Radiologic Technologists,detailed,"194,000","56,760","55,200"
Magnetic Resonance Imaging Technologists,detailed,"32,000","65,960","66,050"
Emergency Medical Technicians and Paramedics,broad,"237,660","34,870","31,270"
Emergency Medical Technicians and Paramedics,detailed,"237,660","34,870","31,270"
Health Practitioner Support Technologists and Technicians,broad,"687,480","33,620","31,660"
Dietetic Technicians,detailed,"26,420","28,580","25,620"
Pharmacy Technicians,detailed,"362,690","30,840","29,650"
Psychiatric Technicians,detailed,"66,760","33,470","29,880"
Respiratory Therapy Technicians,detailed,"12,070","47,850","47,040"
Surgical Technologists,detailed,"97,930","44,420","42,720"
Veterinary Technologists and Technicians,detailed,"87,870","31,760","30,500"
Ophthalmic Medical Technicians,detailed,"33,740","36,280","34,940"
Licensed Practical and Licensed Vocational Nurses,broad,"705,200","42,910","41,920"
Licensed Practical and Licensed Vocational Nurses,detailed,"705,200","42,910","41,920"
Medical Records and Health Information Technicians,broad,"180,760","37,710","34,970"
Medical Records and Health Information Technicians,detailed,"180,760","37,710","34,970"
"Opticians, Dispensing",broad,"68,390","35,710","33,770"
"Opticians, Dispensing",detailed,"68,390","35,710","33,770"
Miscellaneous Health Technologists and Technicians,broad,"102,500","47,210","42,310"
Orthotists and Prosthetists,detailed,"8,330","70,740","62,970"
Hearing Aid Specialists,detailed,"5,170","47,900","43,400"
"Health Technologists and Technicians, All Other",detailed,"88,990","44,960","40,900"
Other Healthcare Practitioners and Technical Occupations,minor,"145,370","59,230","55,740"
Occupational Health and Safety Specialists and Technicians,broad,"76,490","65,710","64,130"
Occupational Health and Safety Specialists,detailed,"62,830","69,050","67,960"
Occupational Health and Safety Technicians,detailed,"13,660","50,390","47,380"
Miscellaneous Health Practitioners and Technical Workers,broad,"68,880","52,030","46,180"
Athletic Trainers,detailed,"22,340","44,720","42,790"
Genetic Counselors,detailed,"1,980","62,800","63,590"
"Healthcare Practitioners and Technical Workers, All Other",detailed,"44,560","55,210","48,610"
Healthcare Support Occupations,major,"3,924,390","28,300","26,080"
"Nursing, Psychiatric, and Home Health Aides",minor,"2,361,910","24,700","23,330"
"Nursing, Psychiatric, and Home Health Aides",broad,"2,361,910","24,700","23,330"
Home Health Aides,detailed,"806,710","22,050","21,020"
Psychiatric Aides,detailed,"75,340","26,990","25,120"
Nursing Assistants,detailed,"1,427,830","26,020","24,890"
Orderlies,detailed,"52,030","26,340","24,440"
Occupational Therapy and Physical Therapist Assistants and Aides,minor,"160,430","44,080","43,260"
Occupational Therapy Assistants and Aides,broad,"39,160","49,390","50,250"
Occupational Therapy Assistants,detailed,"30,450","55,250","55,270"
Occupational Therapy Aides,detailed,"8,710","28,900","26,350"
Physical Therapist Assistants and Aides,broad,"121,270","42,360","40,410"
Physical Therapist Assistants,detailed,"72,640","53,320","53,360"
Physical Therapist Aides,detailed,"48,630","25,990","24,310"
Other Healthcare Support Occupations,minor,"1,402,060","32,570","31,040"
Massage Therapists,broad,"79,040","40,400","35,920"
Massage Therapists,detailed,"79,040","40,400","35,920"
Miscellaneous Healthcare Support Occupations,broad,"1,323,010","32,110","30,850"
Dental Assistants,detailed,"309,540","35,640","34,900"
Medical Assistants,detailed,"571,690","30,780","29,610"
Medical Equipment Preparers,detailed,"51,300","33,320","31,720"
Medical Transcriptionists,detailed,"68,350","35,260","34,590"
Pharmacy Aides,detailed,"42,250","24,510","22,580"
Veterinary Assistants and Laboratory Animal Caretakers,detailed,"71,800","25,110","23,550"
Phlebotomists,detailed,"108,210","31,410","30,150"
"Healthcare Support Workers, All Other",detailed,"99,880","34,950","34,150"
Protective Service Occupations,major,"3,257,690","43,510","36,770"
Supervisors of Protective Service Workers,minor,"270,500","68,700","64,470"
First-Line Supervisors of Law Enforcement Workers,broad,"146,300","76,200","72,520"
First-Line Supervisors of Correctional Officers,detailed,"44,980","61,540","57,700"
First-Line Supervisors of Police and Detectives,detailed,"101,320","82,710","79,190"
First-Line Supervisors of Fire Fighting and Prevention Workers,broad,"59,700","72,670","70,040"
First-Line Supervisors of Fire Fighting and Prevention Workers,detailed,"59,700","72,670","70,040"
"Miscellaneous First-Line Supervisors, Protective Service Workers",broad,"64,510","48,000","45,830"
"First-Line Supervisors of Protective Service Workers, All Other",detailed,"64,510","48,000","45,830"
Fire Fighting and Prevention Workers,minor,"316,120","48,580","45,940"
Firefighters,broad,"302,870","48,270","45,600"
Firefighters,detailed,"302,870","48,270","45,600"
Fire Inspectors,broad,"13,250","55,820","53,190"
Fire Inspectors and Investigators,detailed,"11,520","58,100","55,440"
Forest Fire Inspectors and Prevention Specialists,detailed,"1,730","40,640","33,610"
Law Enforcement Workers,minor,"1,213,870","54,990","50,630"
"Bailiffs, Correctional Officers, and Jailers",broad,"449,050","44,220","39,540"
Bailiffs,detailed,"16,360","40,620","37,080"
Correctional Officers and Jailers,detailed,"432,680","44,350","39,550"
Detectives and Criminal Investigators,broad,"109,960","79,030","76,730"
Detectives and Criminal Investigators,detailed,"109,960","79,030","76,730"
Fish and Game Wardens,broad,"6,640","50,470","48,760"
Fish and Game Wardens,detailed,"6,640","50,470","48,760"
Parking Enforcement Workers,broad,"8,790","37,220","36,190"
Parking Enforcement Workers,detailed,"8,790","37,220","36,190"
Police Officers,broad,"639,440","58,720","56,130"
Police and Sheriff's Patrol Officers,detailed,"635,380","58,720","56,130"
Transit and Railroad Police,detailed,"4,060","58,200","55,490"
Other Protective Service Workers,minor,"1,457,200","28,160","24,340"
Animal Control Workers,broad,"13,590","33,870","32,020"
Animal Control Workers,detailed,"13,590","33,870","32,020"
Private Detectives and Investigators,broad,"25,820","53,890","46,250"
Private Detectives and Investigators,detailed,"25,820","53,890","46,250"
Security Guards and Gaming Surveillance Officers,broad,"1,076,980","27,590","24,120"
Gaming Surveillance Officers and Gaming Investigators,detailed,"10,260","31,970","29,440"
Security Guards,detailed,"1,066,730","27,550","24,070"
Miscellaneous Protective Service Workers,broad,"340,810","27,780","23,990"
Crossing Guards,detailed,"68,050","26,530","23,890"
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detailed,"130,700","20,890","19,040"
Transportation Security Screeners,detailed,"45,790","37,400","37,090"
"Protective Service Workers, All Other",detailed,"96,260","33,450","30,020"
Food Preparation and Serving Related Occupations,major,"11,914,590","21,580","19,020"
Supervisors of Food Preparation and Serving Workers,minor,"950,270","33,640","30,220"
Supervisors of Food Preparation and Serving Workers,broad,"950,270","33,640","30,220"
Chefs and Head Cooks,detailed,"107,730","46,620","42,490"
First-Line Supervisors of Food Preparation and Serving Workers,detailed,"842,540","31,980","29,320"
Cooks and Food Preparation Workers,minor,"2,978,730","22,070","20,340"
Cooks,broad,"2,154,650","22,440","20,790"
"Cooks, Fast Food",detailed,"507,940","18,870","18,470"
"Cooks, Institution and Cafeteria",detailed,"399,940","24,670","23,170"
"Cooks, Private Household",detailed,590,"27,350","23,240"
"Cooks, Restaurant",detailed,"1,057,550","23,440","22,160"
"Cooks, Short Order",detailed,"167,480","21,160","19,780"
"Cooks, All Other",detailed,"21,160","26,230","24,080"
Food Preparation Workers,broad,"824,080","21,110","19,440"
Food Preparation Workers,detailed,"824,080","21,110","19,440"
Food and Beverage Serving Workers,minor,"6,678,930","20,020","18,530"
Bartenders,broad,"555,560","21,770","18,920"
Bartenders,detailed,"555,560","21,770","18,920"
Fast Food and Counter Workers,broad,"3,474,600","18,980","18,370"
"Combined Food Preparation and Serving Workers, Including Fast Food",detailed,"3,022,880","18,880","18,330"
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",detailed,"451,730","19,650","18,700"
Waiters and Waitresses,broad,"2,403,960","20,880","18,590"
Waiters and Waitresses,detailed,"2,403,960","20,880","18,590"
"Food Servers, Nonrestaurant",broad,"244,820","22,400","19,920"
"Food Servers, Nonrestaurant",detailed,"244,820","22,400","19,920"
Other Food Preparation and Serving Related Workers,minor,"1,306,660","19,670","18,650"
Dining Room and Cafeteria Attendants and Bartender Helpers,broad,"409,700","19,940","18,610"
Dining Room and Cafeteria Attendants and Bartender Helpers,detailed,"409,700","19,940","18,610"
Dishwashers,broad,"498,110","19,180","18,610"
Dishwashers,detailed,"498,110","19,180","18,610"
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",broad,"360,970","19,670","18,640"
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detailed,"360,970","19,670","18,640"
Miscellaneous Food Preparation and Serving Related Workers,broad,"37,880","23,330","20,680"
"Food Preparation and Serving Related Workers, All Other",detailed,"37,880","23,330","20,680"
Building and Grounds Cleaning and Maintenance Occupations,major,"4,291,410","26,010","22,970"
Supervisors of Building and Grounds Cleaning and Maintenance Workers,minor,"269,540","41,030","38,000"
First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,broad,"269,540","41,030","38,000"
First-Line Supervisors of Housekeeping and Janitorial Workers,detailed,"169,920","38,380","35,680"
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detailed,"99,620","45,560","42,570"
Building Cleaning and Pest Control Workers,minor,"3,099,520","24,430","21,840"
Building Cleaning Workers,broad,"3,035,070","24,260","21,710"
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,"2,101,810","25,140","22,590"
Maids and Housekeeping Cleaners,detailed,"917,470","22,130","19,780"
"Building Cleaning Workers, All Other",detailed,"15,790","30,300","28,630"
Pest Control Workers,broad,"64,450","32,480","30,330"
Pest Control Workers,detailed,"64,450","32,480","30,330"
Grounds Maintenance Workers,minor,"922,350","26,930","24,400"
Grounds Maintenance Workers,broad,"922,350","26,930","24,400"
Landscaping and Groundskeeping Workers,detailed,"839,780","26,300","23,940"
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",detailed,"22,830","32,690","30,820"
Tree Trimmers and Pruners,detailed,"40,720","34,470","32,590"
"Grounds Maintenance Workers, All Other",detailed,"19,030","31,720","28,120"
Personal Care and Service Occupations,major,"3,986,740","24,710","21,010"
Supervisors of Personal Care and Service Workers,minor,"183,180","39,540","36,590"
First-Line Supervisors of Gaming Workers,broad,"32,880","45,380","44,410"
Gaming Supervisors,detailed,"25,150","48,940","48,250"
Slot Supervisors,detailed,"7,730","33,800","31,470"
First-Line Supervisors of Personal Service Workers,broad,"150,300","38,260","35,300"
First-Line Supervisors of Personal Service Workers,detailed,"150,300","38,260","35,300"
Animal Care and Service Workers,minor,"164,960","23,060","20,210"
Animal Trainers,broad,"10,610","31,030","25,320"
Animal Trainers,detailed,"10,610","31,030","25,320"
Nonfarm Animal Caretakers,broad,"154,350","22,510","19,910"
Nonfarm Animal Caretakers,detailed,"154,350","22,510","19,910"
Entertainment Attendants and Related Workers,minor,"534,830","21,270","18,880"
Gaming Services Workers,broad,"125,300","22,050","18,840"
Gaming Dealers,detailed,"98,790","20,890","18,480"
Gaming and Sports Book Writers and Runners,detailed,"12,760","25,870","22,510"
"Gaming Service Workers, All Other",detailed,"13,750","26,860","24,480"
Motion Picture Projectionists,broad,"7,630","22,430","20,230"
Motion Picture Projectionists,detailed,"7,630","22,430","20,230"
"Ushers, Lobby Attendants, and Ticket Takers",broad,"106,770","20,370","18,680"
"Ushers, Lobby Attendants, and Ticket Takers",detailed,"106,770","20,370","18,680"
Miscellaneous Entertainment Attendants and Related Workers,broad,"295,130","21,230","18,950"
Amusement and Recreation Attendants,detailed,"260,680","20,310","18,810"
Costume Attendants,detailed,"5,900","49,400","36,650"
"Locker Room, Coatroom, and Dressing Room Attendants",detailed,"18,910","22,420","19,580"
"Entertainment Attendants and Related Workers, All Other",detailed,"9,640","26,590","24,080"
Funeral Service Workers,minor,"62,080","36,270","29,450"
Embalmers,broad,"4,390","42,750","41,590"
Embalmers,detailed,"4,390","42,750","41,590"
Funeral Attendants,broad,"33,400","24,180","22,530"
Funeral Attendants,detailed,"33,400","24,180","22,530"
"Morticians, Undertakers, and Funeral Directors",broad,"24,280","51,720","47,100"
"Morticians, Undertakers, and Funeral Directors",detailed,"24,280","51,720","47,100"
Personal Appearance Workers,minor,"490,050","27,000","22,470"
"Barbers, Hairdressers, Hairstylists and Cosmetologists",broad,"367,070","27,540","23,210"
Barbers,detailed,"15,100","27,710","25,010"
"Hairdressers, Hairstylists, and Cosmetologists",detailed,"351,960","27,530","23,140"
Miscellaneous Personal Appearance Workers,broad,"122,980","25,370","20,120"
"Makeup Artists, Theatrical and Performance",detailed,"2,440","66,330","47,210"
Manicurists and Pedicurists,detailed,"71,220","21,790","19,340"
Shampooers,detailed,"15,650","18,910","18,510"
Skincare Specialists,detailed,"33,680","32,990","28,940"
"Baggage Porters, Bellhops, and Concierges",minor,"73,980","26,220","23,460"
"Baggage Porters, Bellhops, and Concierges",broad,"73,980","26,220","23,460"
Baggage Porters and Bellhops,detailed,"43,790","23,660","20,330"
Concierges,detailed,"30,190","29,930","27,810"
Tour and Travel Guides,minor,"38,780","27,250","24,500"
Tour and Travel Guides,broad,"38,780","27,250","24,500"
Tour Guides and Escorts,detailed,"34,530","26,020","23,770"
Travel Guides,detailed,"4,250","37,300","33,820"
Other Personal Care and Service Workers,minor,"2,438,890","23,620","20,790"
Childcare Workers,broad,"597,900","21,490","19,600"
Childcare Workers,detailed,"597,900","21,490","19,600"
Personal Care Aides,broad,"1,135,470","20,990","20,100"
Personal Care Aides,detailed,"1,135,470","20,990","20,100"
Recreation and Fitness Workers,broad,"555,470","30,800","24,850"
Fitness Trainers and Aerobics Instructors,detailed,"238,170","37,790","33,020"
Recreation Workers,detailed,"317,310","25,560","22,390"
Residential Advisors,broad,"88,220","26,580","24,520"
Residential Advisors,detailed,"88,220","26,580","24,520"
Miscellaneous Personal Care and Service Workers,broad,"61,820","23,530","20,880"
"Personal Care and Service Workers, All Other",detailed,"61,820","23,530","20,880"
Sales and Related Occupations,major,"14,068,190","38,200","25,160"
Supervisors of Sales Workers,minor,"1,459,330","48,430","39,870"
First-Line Supervisors of Sales Workers,broad,"1,459,330","48,430","39,870"
First-Line Supervisors of Retail Sales Workers,detailed,"1,213,550","41,450","37,200"
First-Line Supervisors of Non-Retail Sales Workers,detailed,"245,780","82,890","70,560"
Retail Sales Workers,minor,"8,500,690","23,690","19,930"
Cashiers,broad,"3,363,530","20,450","18,970"
Cashiers,detailed,"3,343,470","20,420","18,960"
Gaming Change Persons and Booth Cashiers,detailed,"20,060","25,070","23,780"
Counter and Rental Clerks and Parts Salespersons,broad,"651,970","28,880","25,230"
Counter and Rental Clerks,detailed,"430,700","27,130","23,370"
Parts Salespersons,detailed,"221,270","32,290","29,440"
Retail Salespersons,broad,"4,485,180","25,370","21,140"
Retail Salespersons,detailed,"4,485,180","25,370","21,140"
"Sales Representatives, Services",minor,"1,653,600","68,680","51,210"
Advertising Sales Agents,broad,"148,770","57,440","45,830"
Advertising Sales Agents,detailed,"148,770","57,440","45,830"
Insurance Sales Agents,broad,"354,460","63,610","48,210"
Insurance Sales Agents,detailed,"354,460","63,610","48,210"
"Securities, Commodities, and Financial Services Sales Agents",broad,"325,140","102,510","72,640"
"Securities, Commodities, and Financial Services Sales Agents",detailed,"325,140","102,510","72,640"
Travel Agents,broad,"64,250","37,200","34,530"
Travel Agents,detailed,"64,250","37,200","34,530"
"Miscellaneous Sales Representatives, Services",broad,"760,980","61,450","51,030"
"Sales Representatives, Services, All Other",detailed,"760,980","61,450","51,030"
"Sales Representatives, Wholesale and Manufacturing",minor,"1,756,600","68,880","57,960"
"Sales Representatives, Wholesale and Manufacturing",broad,"1,756,600","68,880","57,960"
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,"352,830","85,610","74,520"
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,"1,403,770","64,670","54,410"
Other Sales and Related Workers,minor,"697,970","44,090","29,230"
"Models, Demonstrators, and Product Promoters",broad,"82,330","28,800","24,220"
Demonstrators and Product Promoters,detailed,"76,870","28,950","24,440"
Models,detailed,"5,470","26,600","19,040"
Real Estate Brokers and Sales Agents,broad,"197,820","58,900","42,620"
Real Estate Brokers,detailed,"38,970","82,380","59,580"
Real Estate Sales Agents,detailed,"158,850","53,140","39,800"
Sales Engineers,broad,"65,730","101,790","93,900"
Sales Engineers,detailed,"65,730","101,790","93,900"
Telemarketers,broad,"231,900","25,830","22,610"
Telemarketers,detailed,"231,900","25,830","22,610"
Miscellaneous Sales and Related Workers,broad,"120,180","33,870","26,850"
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detailed,"6,090","25,330","20,430"
"Sales and Related Workers, All Other",detailed,"114,100","34,330","27,270"
Office and Administrative Support Occupations,major,"21,442,800","34,900","32,010"
Supervisors of Office and Administrative Support Workers,minor,"1,366,510","53,690","50,190"
First-Line Supervisors of Office and Administrative Support Workers,broad,"1,366,510","53,690","50,190"
First-Line Supervisors of Office and Administrative Support Workers,detailed,"1,366,510","53,690","50,190"
Communications Equipment Operators,minor,"130,890","28,150","26,430"
"Switchboard Operators, Including Answering Service",broad,"118,060","27,270","25,900"
"Switchboard Operators, Including Answering Service",detailed,"118,060","27,270","25,900"
Telephone Operators,broad,"10,280","34,720","32,590"
Telephone Operators,detailed,"10,280","34,720","32,590"
Miscellaneous Communications Equipment Operators,broad,"2,550","42,350","40,720"
"Communications Equipment Operators, All Other",detailed,"2,550","42,350","40,720"
Financial Clerks,minor,"3,274,960","34,990","33,300"
Bill and Account Collectors,broad,"368,850","34,650","32,920"
Bill and Account Collectors,detailed,"368,850","34,650","32,920"
Billing and Posting Clerks,broad,"493,840","34,940","33,820"
Billing and Posting Clerks,detailed,"493,840","34,940","33,820"
"Bookkeeping, Accounting, and Auditing Clerks",broad,"1,586,380","37,250","35,730"
"Bookkeeping, Accounting, and Auditing Clerks",detailed,"1,586,380","37,250","35,730"
Gaming Cage Workers,broad,"17,360","26,190","24,660"
Gaming Cage Workers,detailed,"17,360","26,190","24,660"
Payroll and Timekeeping Clerks,broad,"170,400","39,850","38,670"
Payroll and Timekeeping Clerks,detailed,"170,400","39,850","38,670"
Procurement Clerks,broad,"68,690","38,940","38,780"
Procurement Clerks,detailed,"68,690","38,940","38,780"
Tellers,broad,"527,680","26,260","25,390"
Tellers,detailed,"527,680","26,260","25,390"
Miscellaneous Financial Clerks,broad,"41,770","40,590","38,240"
"Financial Clerks, All Other",detailed,"41,770","40,590","38,240"
Information and Record Clerks,minor,"5,344,530","32,320","30,060"
Brokerage Clerks,broad,"60,300","47,760","45,450"
Brokerage Clerks,detailed,"60,300","47,760","45,450"
Correspondence Clerks,broad,"7,800","35,810","34,840"
Correspondence Clerks,detailed,"7,800","35,810","34,840"
"Court, Municipal, and License Clerks",broad,"127,170","36,850","35,130"
"Court, Municipal, and License Clerks",detailed,"127,170","36,850","35,130"
"Credit Authorizers, Checkers, and Clerks",broad,"50,240","35,660","33,560"
"Credit Authorizers, Checkers, and Clerks",detailed,"50,240","35,660","33,560"
Customer Service Representatives,broad,"2,389,580","33,370","30,870"
Customer Service Representatives,detailed,"2,389,580","33,370","30,870"
"Eligibility Interviewers, Government Programs",broad,"123,920","41,910","41,900"
"Eligibility Interviewers, Government Programs",detailed,"123,920","41,910","41,900"
File Clerks,broad,"152,920","28,680","26,810"
File Clerks,detailed,"152,920","28,680","26,810"
"Hotel, Motel, and Resort Desk Clerks",broad,"234,750","22,010","20,400"
"Hotel, Motel, and Resort Desk Clerks",detailed,"234,750","22,010","20,400"
"Interviewers, Except Eligibility and Loan",broad,"192,360","31,660","30,270"
"Interviewers, Except Eligibility and Loan",detailed,"192,360","31,660","30,270"
"Library Assistants, Clerical",broad,"101,990","25,850","23,660"
"Library Assistants, Clerical",detailed,"101,990","25,850","23,660"
Loan Interviewers and Clerks,broad,"213,270","36,940","36,050"
Loan Interviewers and Clerks,detailed,"213,270","36,940","36,050"
New Accounts Clerks,broad,"56,990","33,940","33,190"
New Accounts Clerks,detailed,"56,990","33,940","33,190"
Order Clerks,broad,"200,210","31,880","30,110"
Order Clerks,detailed,"200,210","31,880","30,110"
"Human Resources Assistants, Except Payroll and Timekeeping",broad,"136,960","38,520","37,680"
"Human Resources Assistants, Except Payroll and Timekeeping",detailed,"136,960","38,520","37,680"
Receptionists and Information Clerks,broad,"973,580","27,450","26,410"
Receptionists and Information Clerks,detailed,"973,580","27,450","26,410"
Reservation and Transportation Ticket Agents and Travel Clerks,broad,"141,900","34,710","33,990"
Reservation and Transportation Ticket Agents and Travel Clerks,detailed,"141,900","34,710","33,990"
Miscellaneous Information and Record Clerks,broad,"180,570","37,530","36,830"
"Information and Record Clerks, All Other",detailed,"180,570","37,530","36,830"
"Material Recording, Scheduling, Dispatching, and Distributing Workers",minor,"3,798,670","32,600","28,790"
Cargo and Freight Agents,broad,"73,760","43,620","40,250"
Cargo and Freight Agents,detailed,"73,760","43,620","40,250"
Couriers and Messengers,broad,"74,060","27,770","26,230"
Couriers and Messengers,detailed,"74,060","27,770","26,230"
Dispatchers,broad,"282,130","39,050","36,640"
"Police, Fire, and Ambulance Dispatchers",detailed,"96,860","38,960","37,040"
"Dispatchers, Except Police, Fire, and Ambulance",detailed,"185,270","39,100","36,390"
"Meter Readers, Utilities",broad,"37,950","39,080","36,410"
"Meter Readers, Utilities",detailed,"37,950","39,080","36,410"
Postal Service Workers,broad,"500,980","49,720","53,840"
Postal Service Clerks,detailed,"71,910","47,570","53,840"
