Code,Volume,Percent,Openings
47-5061,-0.30,-4.2,1.80
47-5071,11.70,19.2,27.90
47-5081,4.40,16.6,11.40
47-5099,1.30,13.5,2.70
49-0000,531.20,9.6,1813.70
49-1000,33.90,7.8,152.00
49-1011,33.90,7.8,152.00
49-2000,25.60,4.1,140.50
49-2011,5.10,3.8,32.80
49-2020,9.50,4.1,41.60
49-2021,1.10,6.6,3.30
49-2022,8.40,3.9,38.20
49-2090,11.00,4.4,66.10
49-2091,0.50,2.9,4.00
49-2092,-0.80,-4.1,3.60
49-2093,0.40,2.3,3.60
49-2094,2.30,3.4,16.30
49-2095,-0.10,-0.2,5.00
49-2096,-0.90,-5.9,1.30
49-2097,0.40,1.2,11.40
49-2098,9.20,15.9,21.00
49-3000,140.10,8.7,544.70
49-3011,3.00,2.4,35.60
49-3020,83.20,9.5,294.60
49-3021,20.40,13.3,50.10
49-3022,2.40,13.6,6.90
49-3023,60.40,8.6,237.60
49-3031,21.60,8.6,75.10
49-3040,16.20,9.2,67.10
49-3041,3.40,9.5,13.80
49-3042,12.30,10.3,46.70
49-3043,0.50,2.5,6.60
49-3050,3.80,5.6,18.20
49-3051,1.10,5.5,5.50
49-3052,1.00,6.1,4.60
49-3053,1.70,5.5,8.10
49-3090,12.20,10.2,54.10
49-3091,2.70,25.1,6.40
49-3092,1.00,8.7,4.80
49-3093,8.60,8.7,42.90
49-9000,331.50,11.6,976.50
49-9010,3.60,6.3,22.90
49-9011,3.80,23.8,9.10
49-9012,-0.20,-0.5,13.80
49-9021,55.90,20.9,123.70
49-9031,0.30,0.7,13.90
49-9040,77.40,17.2,187.60
49-9041,60.30,18.9,152.50
49-9043,9.90,11.1,21.10
49-9044,7.20,18.4,13.40
49-9045,0.00,0.4,0.60
49-9050,18.30,7.3,91.10
49-9051,10.20,8.9,49.90
49-9052,8.10,6.0,41.20
49-9060,14.10,20.0,33.70
49-9061,0.10,3.3,1.00
49-9062,12.80,30.3,24.60
49-9063,0.50,6.2,2.80
49-9064,0.10,1.9,0.90
49-9069,0.60,4.5,4.50
49-9071,125.20,9.4,379.70
49-9081,0.80,24.5,1.30
49-9090,35.90,9.3,122.60
49-9091,-0.90,-2.1,4.10
49-9092,1.10,29.4,1.90
49-9093,-0.10,-10.4,0.20
49-9094,1.60,7.4,9.10
49-9095,-0.80,-15.1,1.30
49-9096,3.50,23.3,7.20
49-9097,-0.10,-1.2,2.10
49-9098,17.50,13.7,55.90
49-9099,14.00,8.8,40.80
51-0000,75.60,0.8,2150.60
51-1000,-10.50,-1.8,83.70
51-1011,-10.50,-1.8,83.70
51-2000,64.20,3.7,371.50
51-2011,2.40,5.8,9.10
51-2020,-18.60,-7.1,31.90
51-2021,-1.50,-10.5,1.70
51-2022,-13.50,-6.8,24.00
51-2023,-3.60,-7.1,6.10
51-2031,-0.60,-1.4,6.70
51-2041,6.20,7.7,38.20
51-2090,74.70,5.6,285.60
51-2091,-0.70,-4.1,2.90
51-2092,49.50,4.8,212.60
51-2093,0.00,-2.6,0.20
51-2099,26.00,9.4,69.90
51-3000,23.10,3.1,221.10
51-3011,9.40,5.6,50.10
51-3020,13.20,3.5,109.10
51-3021,6.50,4.8,40.20
51-3022,8.60,5.3,49.00
51-3023,-2.00,-2.4,19.90
51-3090,0.50,0.2,61.90
51-3091,0.20,0.9,5.40
51-3092,-2.70,-2.6,34.20
51-3093,-0.20,-0.6,8.70
51-3099,3.20,8.1,13.60
51-4000,-4.20,-0.2,468.60
51-4010,27.10,16.5,73.10
51-4011,20.40,14.5,59.60
51-4012,6.70,27.6,13.50
51-4020,-18.40,-13.7,25.80
51-4021,-11.90,-15.9,14.40
51-4022,-2.90,-12.8,4.30
51-4023,-3.60,-9.9,7.00
51-4030,-38.50,-11.4,47.60
51-4031,-16.40,-8.9,15.70
51-4032,-4.70,-22.5,4.00
51-4033,-9.00,-12.6,16.00
51-4034,-5.40,-14.0,7.40
51-4035,-2.90,-12.6,4.50
51-4041,34.80,8.8,125.90
51-4050,-4.30,-13.6,4.10
51-4051,-2.30,-10.9,2.70
51-4052,-2.00,-18.7,1.40
51-4060,0.40,3.8,2.40
51-4061,0.10,2.2,1.30
51-4062,0.30,6.0,1.10
51-4070,-21.20,-15.4,16.60
51-4071,-2.00,-16.2,1.50
51-4072,-19.20,-15.4,15.10
51-4081,-11.40,-13.2,16.60
51-4111,-1.10,-1.4,4.70
51-4120,31.40,7.6,132.20
51-4121,20.80,5.8,108.50
51-4122,10.60,19.8,23.70
51-4190,-3.00,-2.8,19.50
51-4191,-0.40,-1.9,4.20
51-4192,-0.40,-3.0,2.40
51-4193,-3.00,-8.6,6.70
51-4194,0.10,0.4,2.50
51-4199,0.80,2.9,3.60
51-5100,-14.50,-5.3,51.90
51-5111,-5.50,-12.9,10.90
51-5112,-7.00,-3.9,31.40
51-5113,-2.00,-3.7,9.60
51-6000,-47.00,-7.1,134.60
51-6011,20.50,9.7,82.90
51-6021,1.40,2.6,6.90
51-6031,-41.70,-25.8,7.70
51-6040,-2.40,-20.1,2.00
51-6041,-1.20,-14.0,1.40
51-6042,-1.20,-35.3,0.60
51-6050,-1.90,-3.1,6.50
51-6051,-1.00,-9.3,1.20
51-6052,-0.90,-1.8,5.30
51-6060,-17.90,-23.5,12.30
51-6061,-2.70,-24.0,1.80
51-6062,-4.20,-27.1,2.50
51-6063,-5.40,-24.5,3.50
51-6064,-5.60,-20.5,4.40
51-6090,-4.90,-5.9,16.20
51-6091,-2.20,-12.2,2.90
51-6092,-1.60,-25.0,1.00
51-6093,0.30,0.7,11.30
51-6099,-1.30,-8.2,1.00
51-7000,16.70,7.5,46.30
51-7011,3.50,4.1,10.40
51-7021,0.50,3.3,2.80
51-7030,0.10,3.5,0.40
51-7031,0.10,5.5,0.30
51-7032,0.00,0.2,0.10
51-7040,11.70,11.5,26.10
51-7041,5.40,13.5,16.60
51-7042,6.30,10.2,9.60
51-7099,0.90,5.0,6.60
51-8000,-2.40,-0.8,118.00
51-8010,-4.60,-7.6,18.80
51-8011,0.00,0.5,2.30
51-8012,-0.10,-0.9,3.60
51-8013,-4.50,-10.8,12.90
51-8021,1.20,3.1,12.70
51-8031,8.60,7.7,47.50
51-8090,-7.50,-7.2,38.90
51-8091,-4.40,-11.5,14.20
51-8092,-1.10,-8.8,4.70
51-8093,-2.10,-5.1,15.50
51-8099,0.10,0.7,4.50
51-9000,50.20,2.0,655.10
51-9010,-5.90,-6.0,34.00
51-9011,-4.70,-8.3,19.70
51-9012,-1.20,-2.9,14.40
51-9020,-5.00,-2.7,51.30
51-9021,-0.70,-2.3,8.50
51-9022,-0.50,-1.7,8.90
51-9023,-3.70,-3.1,33.90
51-9030,-7.10,-9.7,12.20
51-9031,-2.20,-15.3,2.40
51-9032,-4.90,-8.4,9.80
51-9041,-2.20,-3.2,19.20
51-9051,-0.90,-4.3,4.80
51-9061,25.70,5.5,127.70
51-9071,-3.20,-9.8,6.70
51-9080,5.60,6.7,33.60
51-9081,1.00,2.6,14.20
51-9082,0.80,6.4,5.20
51-9083,3.70,12.1,14.20
51-9111,2.30,0.6,89.30
51-9120,5.50,3.7,32.80
51-9121,0.40,0.5,15.70
51-9122,5.10,10.4,14.00
51-9123,0.00,0.2,3.10
51-9141,-5.80,-27.1,5.00
51-9151,0.10,0.2,13.90
51-9190,41.10,4.7,224.50
51-9191,0.10,0.6,4.10
51-9192,-0.10,-0.6,3.80
51-9193,0.10,1.0,2.00
51-9194,-0.40,-3.8,2.30
51-9195,3.10,7.5,17.00
51-9196,-7.60,-8.0,8.50
51-9197,-1.50,-8.8,4.10
51-9198,29.80,7.1,102.20
51-9199,17.50,7.3,80.60
53-0000,790.60,8.6,2992.10
53-1000,32.00,8.4,136.40
53-1011,0.00,0.7,1.90
53-1021,14.70,8.5,61.90
53-1031,17.30,8.6,72.60
53-2000,-5.60,-2.6,62.50
53-2010,-0.80,-0.8,33.70
53-2011,-4.40,-6.6,19.20
53-2012,3.60,9.4,14.40
53-2020,0.70,2.3,14.90
53-2021,0.40,1.4,11.40
53-2022,0.40,5.1,3.50
53-2031,-5.50,-6.5,14.00
53-3000,368.80,9.3,1013.20
53-3011,5.90,31.1,9.00
53-3020,57.90,8.9,178.00
53-3021,16.80,9.8,48.10
53-3022,41.10,8.5,129.90
53-3030,261.40,8.8,737.20
53-3031,36.80,8.5,105.90
53-3032,192.60,11.3,464.70
53-3033,32.00,3.8,166.60
53-3041,36.20,15.5,63.70
53-3099,7.40,11.5,25.30
53-4000,-3.30,-2.6,38.80
53-4010,-2.00,-4.5,13.60
53-4011,-1.50,-3.9,11.40
53-4012,-0.70,-42.0,0.50
53-4013,0.10,2.4,1.70
53-4021,-0.70,-2.6,7.60
53-4031,-1.30,-2.9,13.30
53-4041,0.60,6.5,3.30
53-4099,0.10,2.2,1.00
53-5000,10.90,13.3,48.10
53-5011,5.00,15.5,19.30
53-5020,5.10,13.1,23.10
53-5021,4.90,13.8,21.30
53-5022,0.20,5.7,1.80
53-5031,0.80,7.8,5.70
53-6000,37.20,11.1,161.40
53-6011,-0.10,-2.0,1.40
53-6021,9.30,7.3,70.90
53-6031,19.80,18.1,51.20
53-6041,0.80,11.7,3.40
53-6051,2.90,11.2,11.70
53-6061,2.60,11.0,6.40
53-6099,1.90,5.1,16.50
53-7000,350.70,8.4,1531.70
53-7011,1.30,3.4,12.40
53-7021,7.40,16.8,22.40
53-7030,8.50,15.1,12.90
53-7031,0.30,13.3,0.40
53-7032,8.20,16.2,12.30
53-7033,0.00,-0.6,0.30
53-7041,0.10,2.7,1.00
53-7051,-13.60,-2.7,116.80
53-7060,320.00,9.7,1287.10
53-7061,35.90,11.1,126.30
53-7062,241.90,11.0,922.50
53-7063,2.10,2.0,23.20
53-7064,40.10,6.0,215.00
53-7070,3.70,10.7,15.70
53-7071,-0.10,-3.1,1.70
53-7072,1.40,10.8,6.00
53-7073,2.40,14.8,8.00
53-7081,21.60,16.2,49.30
53-7111,-0.10,-3.7,0.80
53-7121,0.30,2.7,3.90
53-7199,1.50,5.3,9.40
,,,
