Code,Volume,Percent,Openings
19-3093,0.20,6.0,0.80
19-3094,1.40,21.3,2.50
19-3099,0.70,1.9,6.40
19-4000,35.00,9.5,162.00
19-4011,0.80,2.9,10.10
19-4021,8.00,10.0,32.10
19-4031,6.00,9.4,21.60
19-4041,2.40,15.1,8.10
19-4051,1.20,14.9,4.10
19-4061,4.40,15.0,16.10
19-4090,12.20,8.5,69.80
19-4091,6.20,18.8,19.00
19-4092,0.70,5.8,5.80
19-4093,-1.20,-3.5,13.40
19-4099,6.50,10.1,31.60
21-0000,408.80,17.2,962.90
21-1000,368.50,19.0,814.20
21-1010,136.80,20.6,278.30
21-1011,28.20,31.4,47.20
21-1012,31.20,11.9,87.00
21-1013,11.60,30.6,19.60
21-1014,36.70,28.5,64.00
21-1015,23.40,19.9,48.40
21-1019,5.80,19.4,12.10
21-1020,114.10,18.8,242.80
21-1021,43.10,15.1,103.60
21-1022,39.20,26.8,70.20
21-1023,26.00,22.8,50.20
21-1029,5.80,9.5,18.80
21-1090,117.60,17.6,293.20
21-1091,11.20,19.0,26.60
21-1092,-0.90,-1.0,23.60
21-1093,81.20,21.8,178.70
21-1094,10.20,25.1,20.80
21-1099,16.00,15.1,43.60
21-2000,40.30,9.3,148.70
21-2011,23.60,9.8,72.60
21-2021,11.30,8.4,57.00
21-2099,5.40,8.9,19.10
23-0000,132.90,10.7,333.80
23-1000,76.60,9.3,208.80
23-1010,75.40,9.8,199.00
23-1011,74.80,9.8,196.50
23-1012,0.50,4.3,2.50
23-1020,1.30,2.5,9.80
23-1021,-0.30,-1.7,2.40
23-1022,0.90,10.4,2.20
23-1023,0.70,2.3,5.20
23-2000,56.30,13.3,125.10
23-2011,46.20,16.7,91.20
23-2090,10.10,6.9,33.80
23-2091,2.00,9.6,5.50
23-2093,6.20,9.2,17.30
23-2099,1.80,3.1,11.10
25-0000,1015.80,11.1,2896.90
25-1000,303.50,16.6,578.70
25-1011,15.20,14.7,30.70
25-1020,12.60,12.0,28.40
25-1021,5.30,12.7,11.60
25-1022,7.30,11.5,16.80
25-1030,6.30,12.2,14.10
25-1031,1.30,14.3,2.70
25-1032,5.00,11.8,11.40
25-1040,13.30,17.2,24.90
25-1041,1.00,8.0,3.00
25-1042,12.00,19.5,21.20
25-1043,0.30,9.9,0.80
25-1050,8.20,13.2,17.60
25-1051,1.50,11.4,3.50
25-1052,3.50,13.7,7.30
25-1053,0.80,13.2,1.80
25-1054,2.40,13.8,5.00
25-1060,19.90,13.9,41.50
25-1061,0.90,12.5,1.90
25-1062,1.90,15.8,3.80
25-1063,2.40,14.2,4.90
25-1064,0.60,10.6,1.40
25-1065,3.10,14.6,6.20
25-1066,6.80,14.2,13.90
25-1067,2.60,12.7,5.70
25-1069,1.70,13.4,3.50
