Dothan,AL,4701,4896,4.15
Dover,DE,6293,6493,3.18
Dubuque,IA,4868,4932,1.31
Duluth,MN,11223,11711,4.35
Durham,NC,41366,42245,2.12
Chapel Hill,NC,41366,42245,2.12
East Stroudsburg,PA,5454,5434,-0.37
Eau Claire,WI,6908,7068,2.32
El Centro,CA,5311,5643,6.25
Elizabethtown,KY,5679,5816,2.41
Fort Knox,KY,5679,5816,2.41
Elkhart,IN,11447,12067,5.42
Goshen,IN,11447,12067,5.42
Elmira,NY,3219,3188,-0.96
El Paso,TX,27108,27458,1.29
Erie,PA,10280,10485,1.99
Eugene,OR,12606,13160,4.39
Evansville,IN,16975,16577,-2.34
Fairbanks,AK,5726,5536,-3.32
Fargo,ND,13697,14512,5.95
Farmington,NM,6220,6371,2.43
Fayetteville,NC,17342,17347,0.03
Fayetteville,AR,22210,23826,7.28
Springdale,AR,22210,23826,7.28
Rogers,AR,22210,23826,7.28
Flagstaff,AZ,5030,5214,3.66
Flint,MI,12201,12572,3.04
Florence,SC,7495,7900,5.40
Florence,AL,4391,4647,5.83
Muscle Shoals,AL,4391,4647,5.83
Fond du Lac,WI,4067,4272,5.04
Fort Collins,CO,12634,13210,4.56
Fort Smith,AR,10107,10473,3.62
Fort Wayne,IN,19168,19639,2.46
Fresno,CA,34729,37045,6.67
Gadsden,AL,2731,2677,-1.98
Gainesville,FL,10830,11098,2.47
Gainesville,GA,7155,7526,5.19
Gettysburg,PA,2697,2814,4.34
Glens Falls,NY,4356,4298,-1.33
Goldsboro,NC,4150,4216,1.59
Grand Forks,ND,4523,4795,6.01
Grand Island,NE,3892,4177,7.32
Grand Junction,CO,5130,5196,1.29
Grand Rapids,MI,45401,48038,5.81
Wyoming,MI,45401,48038,5.81
Grants Pass,OR,1842,1875,1.79
Great Falls,MT,3208,3194,-0.44
Greeley,CO,8393,9528,13.52
Green Bay,WI,16356,17076,4.40
Greensboro,NC,36814,38032,3.31
High Point,NC,36814,38032,3.31
Greenville,NC,7115,7180,0.91
Greenville,SC,33814,34953,3.37
Anderson,SC,33814,34953,3.37
Mauldin,SC,33814,34953,3.37
Gulfport,MS,15526,16182,4.23
Biloxi,MS,15526,16182,4.23
Pascagoula,MS,15526,16182,4.23
Hagerstown,MD,8243,8387,1.75
Martinsburg,WV,8243,8387,1.75
