job name;industry;unemp 2011;unemp 2012
Rolling machine setters, operators, and tenders, metal and plastic;Production occupations;10.4;19.5
Roof bolters, mining;Construction and extraction occupations;6.9;36.6
Roofers;Construction and extraction occupations;22;17.6
Roustabouts, oil and gas;Construction and extraction occupations;6.6;2.4
Sailors and marine oilers;Transportation and material moving occupations;14.1;13.8
Sales and related workers, all other;Sales and related occupations;7.9;6.2
Sales engineers;Sales and related occupations;3.1;1.4
Sales representatives, services, all other;Sales and related occupations;8.3;9.5
Sales representatives, wholesale and manufacturing;Sales and related occupations;4.6;4.9
Sawing machine setters, operators, and tenders, wood;Production occupations;9.4;4.1
Secretaries and administrative assistants;Office and administrative support occupations;6.4;6.2
Securities, commodities, and financial services sales agents;Sales and related occupations;9.5;5.3
Security and fire alarm systems installers;Installation, maintenance, and repair occupations;5.3;12.8
Security guards and gaming surveillance officers;Protective service occupations;11.2;11.6
Semiconductor processors;Production occupations;12.6;3.5
Septic tank servicers and sewer pipe cleaners;Construction and extraction occupations;0.3;0.9
Sewing machine operators;Production occupations;10.6;8.7
Sheet metal workers;Construction and extraction occupations;17.3;10.8
Ship and boat captains and operators;Transportation and material moving occupations;12.4;3
Ship engineers;Transportation and material moving occupations;15.9;16.8
Shipping, receiving, and traffic clerks;Office and administrative support occupations;12.1;10.4
Shoe and leather workers and repairers;Production occupations;2.8;8.7
Shoe machine operators and tenders;Production occupations;7.7;11
Signal and track switch repairers;Installation, maintenance, and repair occupations;N/A;N/A
Small engine mechanics;Installation, maintenance, and repair occupations;9.7;5
Stationary engineers and boiler operators;Production occupations;5.4;3.8
Statistical assistants;Office and administrative support occupations;2.8;3.1
Stock clerks and order fillers;Office and administrative support occupations;13.9;11.7
Structural iron and steel workers;Construction and extraction occupations;25.3;21.9
Structural metal fabricators and fitters;Production occupations;14.3;15.3
Subway, streetcar, and other rail transportation workers;Transportation and material moving occupations;10.3;2
Supervisors, protective service workers, all other;Protective service occupations;3.3;5.4
Supervisors, transportation and material moving workers;Transportation and material moving occupations;4.7;4.4
Switchboard operators, including answering service;Office and administrative support occupations;4.1;10.7
Tailors, dressmakers, and sewers;Production occupations;7.8;8.1
Tank car, truck, and ship loaders;Transportation and material moving occupations;19.2;3.1
Taxi drivers and chauffeurs;Transportation and material moving occupations;8.8;7.1
Telecommunications line installers and repairers;Installation, maintenance, and repair occupations;6.7;8.2
Telemarketers;Sales and related occupations;31.4;23.1
Telephone operators;Office and administrative support occupations;15.2;10.8
Tellers;Office and administrative support occupations;5.8;4.8
Textile bleaching and dyeing machine operators and tenders;Production occupations;49.6;10.7
Textile cutting machine setters, operators, and tenders;Production occupations;11.3;3.8
Textile knitting and weaving machine setters, operators, and tenders;Production occupations;7;10.5
Textile winding, twisting, and drawing out machine setters, operators, and tenders;Production occupations;16.4;13.3
Textile, apparel, and furnishings workers, all other;Production occupations;5.6;11
Tire builders;Production occupations;5.8;3.4
Tool and die makers;Production occupations;5.1;8.5
Tool grinders, filers, and sharpeners;Production occupations;16.5;7.6
Tour and travel guides;Personal care and service occupations;17.9;9.8
Transit and railroad police;Protective service occupations;N/A;N/A
Transportation attendants;Personal care and service occupations;6.5;12.6
Transportation inspectors;Transportation and material moving occupations;9.8;7.6
Travel agents;Sales and related occupations;7.9;8.4
Upholsterers;Production occupations;8.5;5.2
Ushers, lobby attendants, and ticket takers;Personal care and service occupations;13.5;13.3
Waiters and waitresses;Food preparation and serving related occupations;10.7;10.1
Water and liquid waste treatment plant and system operators;Production occupations;3.1;1.4
Weighers, measurers, checkers, and samplers, recordkeeping;Office and administrative support occupations;6.5;9.6
Welding, soldering, and brazing workers;Production occupations;13.3;11
Woodworkers, all other;Production occupations;17;11.2
Woodworking machine setters, operators, and tenders, except sawing;Production occupations;25.9;2.9
Word processors and typists;Office and administrative support occupations;6.3;7.7
Software developers, applications and systems software;Computer and mathematical occupations;4;2.8
