job name;industry;unemp 2011;unemp 2012
Miscellaneous mathematical science occupations;Computer and mathematical occupations;5.1;1.3
Miscellaneous media and communication workers;Arts, design, entertainment, sports, and media occupations;7.1;8.3
Miscellaneous social scientists and related workers;Life, physical, and social science occupations;4.1;6.1
Musicians, singers, and related workers;Arts, design, entertainment, sports, and media occupations;8.7;8
Natural sciences managers;Management occupations;5.2;2.1
Network and computer systems administrators;Computer and mathematical occupations;3.9;4.1
Network systems and data communications analysts;Computer and mathematical occupations;3.9;4.1
News analysts, reporters and correspondents;Arts, design, entertainment, sports, and media occupations;4.9;6.6
Nuclear engineers;Architecture and engineering occupations;0.4;1.7
Nuclear technicians;Life, physical, and social science occupations;N/A;N/A
Occupational therapists;Healthcare practitioner and technical occupations;0.4;2.3
Operations research analysts;Computer and mathematical occupations;6.5;1.3
Opticians, dispensing;Healthcare practitioner and technical occupations;5.6;5.2
Optometrists;Healthcare practitioner and technical occupations;N/A;N/A
Other business operations specialists;Business and financial operations occupations;7.1;5.4
Other education, training, and library workers;Education, training, and library occupations;5.2;2.5
Other healthcare practitioners and technical occupations;Healthcare practitioner and technical occupations;4.2;2.9
Other life, physical, and social science technicians;Life, physical, and social science occupations;4.9;5.5
Other teachers and instructors;Education, training, and library occupations;7.3;6.5
Paralegals and legal assistants;Legal occupations;6.7;5.1
Personal financial advisors;Business and financial operations occupations;2.4;2
Petroleum engineers;Architecture and engineering occupations;0.1;0.6
Pharmacists;Healthcare practitioner and technical occupations;3.1;3.2
Photographers;Arts, design, entertainment, sports, and media occupations;9;11.6
Physical scientists, all other;Life, physical, and social science occupations;4;3.1
Physical therapists;Healthcare practitioner and technical occupations;1.8;2
Physician assistants;Healthcare practitioner and technical occupations;4;1.2
Physicians and surgeons;Healthcare practitioner and technical occupations;0.6;0.8
Podiatrists;Healthcare practitioner and technical occupations;N/A;N/A
Postmasters and mail superintendents;Management occupations;6.6;1.9
Postsecondary teachers;Education, training, and library occupations;3.6;3.6
Preschool and kindergarten teachers;Education, training, and library occupations;5.5;5.9
Producers and directors;Arts, design, entertainment, sports, and media occupations;4.6;10.5
Property, real estate, and community association managers;Management occupations;6.3;4.2
Psychologists;Life, physical, and social science occupations;1.4;5.2
Public relations managers;Management occupations;8;3.7
Public relations specialists;Arts, design, entertainment, sports, and media occupations;2.7;4.5
Purchasing agents and buyers, farm products;Business and financial operations occupations;11.8;7.5
Purchasing agents, except wholesale, retail, and farm products;Business and financial operations occupations;3.6;4.3
Purchasing managers;Management occupations;5.4;3.3
Radiation therapists;Healthcare practitioner and technical occupations;0.2;13.9
Recreational therapists;Healthcare practitioner and technical occupations;0.2;N/A
Registered nurses;Healthcare practitioner and technical occupations;2;2.6
Religious workers, all other;Community and social services occupations;4.7;6.1
Respiratory therapists;Healthcare practitioner and technical occupations;2.9;3.6
Secondary school teachers;Education, training, and library occupations;3;3
Social and community service managers;Management occupations;4.5;5
Social workers;Community and social services occupations;6.1;3.9
Sociologists;Life, physical, and social science occupations;N/A;1.4
Special education teachers;Education, training, and library occupations;3.6;3.3
Speech-language pathologists;Healthcare practitioner and technical occupations;1.7;1.8
Statisticians;Computer and mathematical occupations;1.6;N/A
Surveying and mapping technicians;Architecture and engineering occupations;14.1;8.9
Surveyors, cartographers, and photogrammetrists;Architecture and engineering occupations;5;4.1
Tax examiners, collectors, and revenue agents;Business and financial operations occupations;7.1;1
Tax preparers;Business and financial operations occupations;15.9;17.6
Teacher assistants;Education, training, and library occupations;6.7;7.9
Technical writers;Arts, design, entertainment, sports, and media occupations;8.6;8.7
Television, video, and motion picture camera operators and editors;Arts, design, entertainment, sports, and media occupations;12.7;9.4
Therapists, all other;Healthcare practitioner and technical occupations;1.7;4.3
Transportation, storage, and distribution managers;Management occupations;6.5;4
Urban and regional planners;Life, physical, and social science occupations;2.6;4.3
Veterinarians;Healthcare practitioner and technical occupations;0.6;1.2
Wholesale and retail buyers, except farm products;Business and financial operations occupations;3.7;5
