occ_code,sal2008
00-0000,         32390
11-0000,         87670
11-1011,        158560
11-1021,         91570
11-1031,         16920
11-2011,         80220
11-2021,        108580
11-2022,         97260
11-2031,         89430
11-3011,         73520
11-3021,        112210
11-3031,         99330
11-3041,         86500
11-3042,         87700
11-3049,         96130
11-3051,         83290
11-3061,         89160
11-3071,         79000
11-9011,         56230
11-9012,         33550
11-9021,         79860
11-9031,         39940
11-9032,         83880
11-9033,         80670
11-9039,         71630
11-9041,        115270
11-9051,         46320
11-9061,         52210
11-9071,         68290
11-9081,         45800
11-9111,         80240
11-9121,        112800
11-9131,         59310
11-9141,         46130
11-9151,         55980
11-9199,         90230
13-0000,         58010
13-1011,         62940
13-1021,         49670
13-1022,         48710
13-1023,         53940
13-1031,         55760
13-1032,         53440
13-1041,         48890
13-1051,         56510
13-1061,         50460
13-1071,         45470
13-1072,         53860
13-1073,         51450
13-1079,         55710
13-1081,         66480
13-1111,         73570
13-1121,         44260
13-1199,         59920
13-2011,         59430
13-2021,         47370
13-2031,         65320
13-2041,         55250
13-2051,         73150
13-2052,         69050
13-2053,         56790
13-2061,         70930
13-2071,         37470
13-2072,         54700
13-2081,         48100
13-2082,         29420
13-2099,         57150
15-0000,         71270
15-1011,         97970
15-1021,         69620
15-1031,         85430
15-1032,         92430
15-1041,         43450
15-1051,         75500
15-1061,         69740
15-1071,         66310
15-1081,         71100
15-1099,         75150
15-2011,         84810
15-2021,         95150
15-2031,         69000
15-2041,         72610
15-2091,         38400
15-2099,         54990
17-0000,         66750
17-1011,         70320
17-1012,         58960
17-1021,         51180
17-1022,         52980
17-2011,         92520
17-2021,         68730
17-2031,         77400
17-2041,         84680
17-2051,         74600
17-2061,         97400
17-2071,         82160
17-2072,         86370
17-2081,         74020
17-2111,         72490
17-2112,         73820
17-2121,         74140
17-2131,         81820
17-2141,         74920
17-2151,         75960
17-2161,         97080
17-2171,        108020
17-2199,         88570
17-3011,         44490
17-3012,         51320
17-3013,         46640
17-3019,         44930
17-3021,         55040
17-3022,         44290
17-3023,         53240
17-3024,         46310
17-3025,         41100
17-3026,         47180
17-3027,         48130
17-3029,         56850
17-3031,         35120
19-0000,         57220
19-1011,         56030
19-1012,         59520
19-1013,         58390
19-1021,         82840
19-1022,         64350
19-1023,         55290
19-1029,         65080
19-1031,         58720
19-1032,         53750
19-1041,         61360
19-1042,         72590
19-1099,         61450
19-2011,        101300
19-2012,        102890
19-2021,         81290
19-2031,         66230
19-2032,         80230
19-2041,         59750
19-2042,         79160
19-2043,         71450
19-2099,         91500
19-3011,         83590
19-3021,         61070
19-3022,         36220
19-3031,         64140
19-3032,         77010
19-3039,         86120
19-3041,         68570
19-3051,         59810
19-3091,         53910
19-3092,         66600
19-3093,         54530
19-3094,        104130
19-3099,         68720
19-4011,         33990
19-4021,         38400
19-4031,         42120
19-4041,         53360
19-4051,         67890
19-4061,         35650
19-4091,         40230
19-4092,         49860
19-4093,         32000
19-4099,         40050
21-0000,         38220
21-1011,         37030
21-1012,         51050
21-1013,         44590
21-1014,         36810
21-1015,         30930
21-1019,         39930
21-1021,         39530
21-1022,         45650
21-1023,         37210
21-1029,         46220
21-1091,         44000
21-1092,         45910
21-1093,         27280
21-1099,         37670
21-2011,         41730
21-2021,         36100
21-2099,         27660
23-0000,         71740
23-1011,        110590
23-1021,         76940
23-1022,         50660
23-1023,        110220
23-2011,         46120
23-2091,         49710
23-2092,         37130
23-2093,         38300
23-2099,         50250
25-0000,         44230
25-1011,         68000
25-1021,         66440
25-1022,         61120
25-1031,         71710
25-1032,         82810
25-1041,         74390
25-1042,         70650
25-1043,         62140
25-1051,         76050
25-1052,         67240
25-1053,         65130
25-1054,         74390
25-1061,         67750
25-1062,         61490
25-1063,         80130
25-1064,         62880
25-1065,         67200
25-1066,         63630
25-1067,         61280
25-1069,         64650
25-1071,         84390
25-1072,         59210
25-1081,         56400
25-1082,         58570
25-1111,         53640
25-1112,         93210
25-1113,         59140
25-1121,         57820
25-1122,         57760
25-1123,         56380
25-1124,         55570
25-1125,         62000
25-1126,         59540
25-1191,         29850
25-1192,         64210
25-1193,         55140
25-1194,         47330
25-1199,         61360
25-2011,         23870
25-2012,         47100
25-2021,         49330
25-2022,         49700
25-2023,         47870
25-2031,         51180
25-2032,         51580
25-2041,         50020
25-2042,         50810
25-2043,         51340
25-3011,         46310
25-3021,         35720
25-3099,         31100
25-4011,         45020
25-4012,         47220
25-4013,         36660
25-4021,         52530
25-4031,         28820
25-9011,         43390
25-9021,         41530
25-9031,         56880
25-9041,         22200
25-9099,         35510
27-0000,         41580
27-1011,         76980
27-1012,         29080
27-1013,         42650
27-1014,         56330
27-1019,         51600
27-1021,         57350
27-1022,         61160
27-1023,         23230
27-1024,         42400
27-1025,         44950
27-1026,         25940
27-1027,         44660
27-1029,         43830
27-2011,*
27-2012,         64430
27-2021,         40480
27-2022,         28340
27-2023,         23730
27-2031,*
27-2032,         38520
27-2041,         41270
27-2042,*
27-2099,*
27-3011,         26940
27-3012,         27420
27-3021,         51260
27-3022,         34850
27-3031,         51280
27-3041,         49990
27-3042,         61620
27-3043,         53070
27-3091,         38850
27-3099,         41570
27-4011,         38050
27-4012,         32900
27-4013,         37120
27-4014,         47490
27-4021,         29440
27-4031,         41670
27-4032,         50560
27-4099,         52930
29-0000,         56580
29-1011,         66490
29-1021,        142870
29-1022,#
29-1023,#
29-1024,#
29-1029,        137970
29-1031,         50590
29-1041,         96320
29-1051,        106410
29-1061,#
29-1062,        157250
29-1063,#
29-1064,#
29-1065,        146040
29-1066,        154200
29-1067,#
29-1069,#
29-1071,         81230
29-1081,        113560
29-1111,         62450
29-1121,         62030
29-1122,         66780
29-1123,         72790
29-1124,         72910
29-1125,         38370
29-1126,         52200
29-1127,         62930
29-1129,         50700
29-1131,         79050
29-1199,         65880
29-2011,         53500
29-2012,         35380
29-2021,         66570
29-2031,         47010
29-2032,         61980
29-2033,         66660
29-2034,         52210
29-2041,         29330
29-2051,         26080
29-2052,         27710
29-2053,         29250
29-2054,         42430
29-2055,         38740
29-2056,         28900
29-2061,         39030
29-2071,         30610
29-2081,         32810
29-2091,         62590
29-2099,         37950
29-9011,         62250
29-9012,         45360
29-9091,         39640
29-9099,         43630
31-0000,         24540
31-1011,         20460
31-1012,         23850
31-1013,         26560
31-2011,         48230
31-2012,         26960
31-2021,         46140
31-2022,         23760
31-9011,         34900
31-9091,         32380
31-9092,         28300
31-9093,         28410
31-9094,         32060
