occ_code,sal2003
00-0000,         28140
11-0000,         70870
11-1011,        134740
11-1021,         72800
11-1031,         16440
11-2011,         60350
11-2021,         83210
11-2022,         80470
11-2031,         64820
11-3011,         56940
11-3021,         89740
11-3031,         77300
11-3040,         68800
11-3051,         70510
11-3061,         64930
11-3071,         63590
11-9011,         47490
11-9021,         66470
11-9031,         34500
11-9032,         73490
11-9033,         66640
11-9041,         94470
11-9051,         37260
11-9061,         44690
11-9071,         57110
11-9081,         35690
11-9111,         64550
11-9121,         85860
11-9131,         50130
11-9141,         38400
11-9151,         45450
13-0000,         49260
13-1011,         54640
13-1021,         42860
13-1022,         42170
13-1023,         46650
13-1031,         44040
13-1032,         43650
13-1041,         46780
13-1051,         48290
13-1061,         45090
13-1071,         40770
13-1072,         46860
13-1073,         44160
13-1111,         62580
13-1121,         39060
13-2011,         49060
13-2021,         43610
13-2031,         54520
13-2041,         45020
13-2051,         60050
13-2052,         58700
13-2053,         47330
13-2061,         58990
13-2071,         33470
13-2072,         46640
13-2081,         42780
13-2082,         26530
15-0000,         60060
15-1011,         81600
15-1021,         61340
15-1031,         72530
15-1032,         76240
15-1041,         39440
15-1051,         64160
15-1061,         58200
15-1071,         56050
15-1081,         59120
15-2011,         72520
15-2021,         78290
15-2031,         58300
15-2041,         59560
15-2091,         36540
17-0000,         55930
17-1011,         57950
17-1012,         50480
17-1021,         44170
17-1022,         40860
17-2011,         74520
17-2021,         50970
17-2031,         63660
17-2041,         73750
17-2051,         61850
17-2061,         75980
17-2071,         69640
17-2072,         71370
17-2081,         62800
17-2111,         59650
17-2112,         62890
17-2121,         70490
17-2131,         62930
17-2141,         63910
17-2151,         62520
17-2161,         83570
17-2171,         83900
17-3011,         37690
17-3012,         41730
17-3013,         41520
17-3021,         52690
17-3022,         38050
17-3023,         43650
17-3024,         39280
17-3025,         37190
17-3026,         41860
17-3027,         41890
17-3031,         29520
19-0000,         46970
19-1010,         49510
19-1021,         62300
19-1022,         52450
19-1023,         49330
19-1031,         51230
19-1032,         47320
19-1041,         54530
19-1042,         59210
19-2011,         88310
19-2012,         85630
19-2021,         65670
19-2031,         53650
19-2032,         68950
19-2041,         48790
19-2042,         68460
19-2043,         57060
19-3011,         70250
19-3021,         54670
19-3022,         24600
19-3031,         52220
19-3032,         64440
19-3041,         54410
19-3051,         51440
19-3091,         40650
19-3092,         56850
19-3093,         41880
19-3094,         81370
19-4011,         28720
19-4021,         32630
19-4031,         37070
19-4041,         40720
19-4051,         59220
19-4091,         35290
19-4092,         41980
19-4093,         26900
21-0000,         32400
21-1011,         31190
21-1012,         44640
21-1013,         36830
21-1014,         31290
21-1015,         26600
21-1021,         33810
21-1022,         38430
21-1023,         33020
21-1091,         37440
21-1092,         38780
21-1093,         23860
21-2011,         33800
21-2021,         27970
23-0000,         59200
23-1011,         91490
23-1021,         66170
23-1022,         47360
23-1023,         96310
23-2011,         37930
23-2091,         42250
23-2092,         31760
23-2093,         34080
25-0000,         37430
25-1011,         55510
25-1021,         51030
25-1022,         50910
25-1031,         58410
25-1032,         69700
25-1041,         65470
25-1042,         55840
25-1043,         64500
25-1051,         63310
25-1052,         55420
25-1053,         57830
25-1054,         62880
25-1061,         59710
25-1062,         55060
25-1063,         64950
25-1064,         55930
25-1065,         57340
25-1066,         54170
25-1067,         52770
25-1071,         61790
25-1072,         50920
25-1081,         47660
25-1082,         50940
25-1111,         45560
25-1112,         82740
25-1113,         51360
25-1121,         47980
25-1122,         49030
25-1123,         47120
25-1124,         46780
25-1125,         52180
25-1126,         48630
25-1191,         24570
25-1192,         48690
25-1193,         44470
25-1194,         39740
25-2011,         19820
25-2012,         40160
25-2021,         42160
25-2022,         42450
25-2023,         43230
25-2031,         44580
25-2032,         44530
25-2041,         42920
25-2042,         42010
25-2043,         44240
25-3011,         37640
25-3021,         29820
25-4010,         35660
25-4021,         44140
25-4031,         24240
25-9011,         32590
25-9021,         39940
25-9031,         47470
25-9041,         19000
27-0000,         35100
27-1011,         62260
27-1013,         35420
27-1014,         45920
27-1021,         52320
27-1022,         52860
27-1023,         19660
27-1024,         36630
27-1025,         40120
27-1026,         22030
27-1027,         35150
27-2011,         26460
27-2012,         48200
27-2021,         45780
27-2022,         26950
27-2023,         20760
27-2031,         19650
27-2032,         31030
27-2041,         32530
27-2042,         37380
27-3010,         20940
27-3020,         31240
27-3031,         42590
27-3041,         41460
27-3042,         51590
27-3043,         42330
27-3091,         33490
27-4011,         30810
27-4012,         28090
27-4013,         30310
27-4014,         38290
27-4021,         25050
27-4031,         34330
27-4032,         40600
29-0000,         44990
29-1011,         65990
29-1020,        120330
29-1031,         42030
29-1041,         85430
29-1051,         80530
29-1061,#
29-1062,        133340
29-1063,#
29-1064,#
29-1065,        134170
29-1066,        133970
29-1067,#
29-1071,         65670
29-1081,         94060
29-1111,         49550
29-1121,         49770
29-1122,         52550
29-1123,         57710
29-1124,         54190
29-1125,         31870
29-1126,         41150
29-1127,         50050
29-1131,         64750
29-2011,         43640
29-2012,         29610
29-2021,         56360
29-2031,         37410
29-2032,         49960
29-2033,         51560
29-2034,         40620
29-2041,         24440
29-2051,         22430
29-2052,         22760
29-2053,         25780
29-2054,         34850
29-2055,         32130
29-2056,         23340
29-2061,         32390
29-2071,         24520
29-2081,         26350
29-2091,         49710
29-9010,         47580
29-9091,         32850
31-0000,         21360
31-1011,         18240
31-1012,         20490
31-1013,         22900
31-2011,         37400
31-2012,         22780
31-2021,         36610
31-2022,         20970
31-9011,         28670
31-9091,         27700
31-9092,         24170
31-9093,         23350
31-9094,         27590
31-9095,         18380
31-9096,         18020
33-0000,         29650
33-1011,         45500
33-1012,         62350
33-1021,         57000
33-2011,         37060
33-2021,         45750
33-2022,         38090
33-3011,         34470
33-3012,         33160
33-3021,         52390
33-3031,         41380
33-3041,         28190
33-3051,         44020
33-3052,         44160
33-9011,         25750
33-9021,         30410
33-9031,         24660
33-9032,         19660
33-9091,         18860
35-0000,         15390
35-1011,         28750
35-1012,         24700
35-2011,         14450
35-2012,         18300
35-2014,         19260
35-2015,         16430
35-2021,         16470
35-3011,         15040
35-3021,         14560
35-3022,         15360
35-3031,         14100
35-3041,         15910
35-9011,         14570
35-9021,         14990
35-9031,         15380
37-0000,         18770
37-1011,         28670
37-1012,         33770
37-2011,         18410
37-2012,         16600
37-2021,         24990
37-3011,         19940
37-3012,         25490
37-3013,         25630
39-0000,         17640
39-1011,         40160
39-1012,         23160
39-1021,         29500
39-2011,         22350
39-2021,         17190
39-3011,         14200
39-3012,         18830
39-3021,         17130
39-3031,         14700
39-3091,         15030
39-3092,         25410
39-3093,         17160
39-4011,         34350
39-4021,         18540
39-5011,         20250
39-5012,         18700
39-5091,         29320
39-5092,         17710
39-5093,         14360
39-5094,         23050
39-6011,         17710
39-6012,         21800
39-6021,         18790
39-6022,         27530
39-6031,***
39-6032,         18830
39-9011,         16430
39-9021,         16450
39-9031,         24510
39-9032,         18600
39-9041,         20930
41-0000,         21210
41-1011,         30680
41-1012,         55690
41-2011,         15760
41-2012,         20030
41-2021,         17640
41-2022,         24510
41-2031,         18090
41-3011,         38640
41-3021,         40040
41-3031,         60530
41-3041,         27150
41-4011,         57120
41-4012,         43860
41-9011,         20260
41-9012,         24270
41-9021,         49740
41-9022,         32610
41-9031,         67790
41-9041,         19870
41-9091,         24270
43-0000,         26040
43-1011,         39490
43-2011,         21360
43-2021,         28040
43-3011,         27000
43-3021,         26290
43-3031,         27760
43-3041,         22060
43-3051,         29590
43-3061,         30140
43-3071,         20670
43-4011,         34090
43-4021,         26790
43-4031,         27450
43-4041,         27210
43-4051,         26500
43-4061,         33000
43-4071,         20470
43-4081,         17450
43-4111,         22590
43-4121,         19930
43-4131,         28330
43-4141,         25930
43-4151,         25070
43-4161,         31060
43-4171,         21320
43-4181,         26220
43-5011,         31990
43-5021,         19530
43-5031,         28290
43-5032,         30390
43-5041,         28710
43-5051,         39790
43-5052,         39620
43-5053,         39070
43-5061,         34820
43-5071,         23660
43-5081,         19510
43-5111,         24540
43-6011,         34080
43-6012,         35660
43-6013,         26000
43-6014,         25420
43-9011,         29970
43-9021,         22600
43-9022,         27150
43-9031,         31590
43-9041,         28520
43-9051,         21790
43-9061,         22450
43-9071,         22220
43-9081,         24470
43-9111,         29890
45-0000,         16910
45-1011,         34860
45-1012,         16210
45-2011,         28760
45-2021,         25000
45-2041,         16170
45-2091,         17880
45-2092,         15450
45-2093,         16890
45-4011,         19930
45-4021,         27990
45-4022,         27040
45-4023,         27060
47-0000,         33360
47-1011,         48730
47-2011,         43240
47-2021,         41550
47-2022,         34000
47-2031,         34250
47-2041,         32900
47-2042,         34840
47-2043,         27210
47-2044,         35610
47-2051,         30780
47-2053,         27710
47-2061,         24670
47-2071,         29240
