OCC_CODE,sal2010
00-0000,33840
11-0000,91440
11-1011,165080
11-1021,94400
11-1031,19260
11-2011,83890
11-2021,112800
11-2022,98530
11-2031,91810
11-3011,77890
11-3021,115780
11-3031,103910
11-3051,87160
11-3061,95070
11-3071,80210
11-3111,89270
11-3121,99180
11-3131,89170
11-9013,60750
11-9021,83860
11-9031,42960
11-9032,86970
11-9033,83710
11-9039,75690
11-9041,119260
11-9051,48130
11-9071,66960
11-9081,46880
11-9111,84270
11-9121,116020
11-9131,60300
11-9141,51480
11-9151,57950
11-9161,55360
11-9199,96450
13-0000,60670
13-1011,63130
13-1021,54220
13-1022,49650
13-1023,56580
13-1031,58620
13-1032,56230
13-1041,58720
13-1051,57860
13-1074,29990
13-1078,52690
13-1081,70800
13-1111,78160
13-1121,45260
13-1141,57000
13-1151,54160
13-1161,60570
13-1199,62450
13-2011,61690
13-2021,48500
13-2031,68200
13-2041,58850
13-2051,74350
13-2052,64750
13-2053,59290
13-2061,74940
13-2071,38140
13-2072,56490
13-2081,49360
13-2082,30990
13-2099,60980
15-0000,73720
15-1111,100660
15-1121,77740
15-1131,71380
15-1132,87790
15-1133,94180
15-1141,73490
15-1142,69160
15-1150,46260
15-1179,75660
15-1799,79240
15-2011,87650
15-2021,99380
15-2031,70960
15-2041,72830
15-2091,44880
15-2099,54510
17-0000,70610
17-1011,72550
17-1012,62090
17-1021,54510
17-1022,54880
17-2011,97480
17-2021,71090
17-2031,81540
17-2041,90300
17-2051,77560
17-2061,98810
17-2071,84540
17-2072,90170
17-2081,78740
17-2111,75430
17-2112,76100
17-2121,79920
17-2131,83120
17-2141,78160
17-2151,82870
17-2161,99920
17-2171,114080
17-2199,90270
17-3011,46430
17-3012,53020
17-3013,48810
17-3019,45100
17-3021,58080
17-3022,46290
17-3023,56040
17-3024,49550
17-3025,43390
17-3026,48210
17-3027,50110
17-3029,58020
17-3031,37900
19-0000,58530
19-1011,58250
19-1012,60180
19-1013,57340
19-1021,79390
19-1022,65920
19-1023,57430
19-1029,68220
19-1031,59310
19-1032,54540
19-1041,63010
19-1042,76700
19-1099,62340
19-2011,87260
19-2012,106370
19-2021,87780
19-2031,68320
19-2032,84720
19-2041,61700
19-2042,82500
19-2043,75690
19-2099,94780
19-3011,89450
19-3022,36050
19-3031,66810
19-3032,87330
19-3039,89900
19-3041,72360
19-3051,63040
19-3091,54230
19-3092,72800
19-3093,53520
19-3094,107420
19-3099,74620
19-4011,32760
19-4021,39020
19-4031,42040
19-4041,54020
19-4051,68090
19-4061,37230
19-4091,41380
19-4092,51570
19-4093,33390
19-4099,43350
21-0000,39280
21-1011,38120
21-1012,53380
21-1013,45720
21-1014,38150
21-1015,32350
21-1019,41650
21-1021,40210
21-1022,47230
21-1023,38600
21-1029,51500
21-1091,45830
21-1092,47200
21-1093,28200
21-1798,38100
21-2011,43970
21-2021,36170
21-2099,26780
23-0000,74580
23-1011,112760
23-1012,39780
23-1021,85500
23-1022,55800
23-1023,119270
23-2011,46680
23-2091,47700
23-2093,38990
23-2099,51800
25-0000,45690
25-1011,73760
25-1021,70300
25-1022,65710
25-1031,73500
25-1032,89670
25-1041,78370
25-1042,72700
25-1043,78290
25-1051,82840
25-1052,70520
25-1053,71020
25-1054,77610
25-1061,73600
25-1062,68020
25-1063,83370
25-1064,66700
25-1065,70540
25-1066,67330
25-1067,64810
25-1069,73270
25-1071,85270
25-1072,62390
25-1081,59140
25-1082,62720
25-1111,59520
25-1112,94260
25-1113,63090
25-1121,62040
25-1122,60300
25-1123,60400
25-1124,59080
25-1125,64880
25-1126,62330
25-1191,32750
25-1192,65040
25-1193,57650
25-1194,48210
25-1199,59900
25-2011,25700
25-2012,48800
25-2021,51660
25-2022,51960
25-2023,51470
25-2031,53230
25-2032,54310
25-2041,52250
25-2053,53440
25-2054,54810
25-3011,46530
25-3021,36340
25-3999,29820
25-4011,45200
25-4012,48450
25-4013,37310
25-4021,54500
25-4031,29860
25-9011,42710
25-9021,45520
25-9031,58830
25-9041,23220
25-9099,37590
27-0000,42870
27-1011,80630
27-1012,26930
27-1013,44850
27-1014,58510
27-1019,58840
27-1021,58230
27-1022,64530
27-1023,23610
27-1024,43500
27-1025,46280
27-1026,25960
27-1027,46680
27-1029,45130
27-2011,*
27-2012,68440
27-2021,43740
27-2022,28340
27-2023,22840
27-2031,*
27-2032,37660
27-2041,45970
27-2042,*
27-2099,*
27-3011,26850
27-3012,27910
27-3021,54140
27-3022,34530
27-3031,52090
27-3041,51470
27-3042,63280
27-3043,55420
27-3091,43300
27-3099,43090
27-4011,40540
27-4012,35120
27-4013,44630
27-4014,47080
27-4021,29130
27-4031,40390
27-4032,50930
27-4099,61680
29-0000,58490
29-1011,67200
29-1021,141040
29-1022,#
29-1023,#
29-1024,118400
29-1029,161020
29-1031,53250
29-1041,94990
29-1051,111570
29-1061,#
29-1062,163510
29-1063,#
29-1064,#
29-1065,155370
29-1066,164220
29-1067,#
29-1069,#
29-1071,86410
29-1081,118030
29-1111,64690
29-1122,72320
29-1123,76310
29-1124,74980
29-1125,39410
29-1126,54280
