occ_code,sal2009
00-0000,         33190
11-0000,         89330
11-1011,        160720
11-1021,         92650
11-1031,         18810
11-2011,         82370
11-2021,        110030
11-2022,         96790
11-2031,         89690
11-3011,         75520
11-3021,        113720
11-3031,        101190
11-3041,         88050
11-3042,         88090
11-3049,         96550
11-3051,         85080
11-3061,         91440
11-3071,         79490
11-9011,         59450
11-9012,         32350
11-9021,         82330
11-9031,         41060
11-9032,         85220
11-9033,         82800
11-9039,         73910
11-9041,        117000
11-9051,         47210
11-9061,         54370
11-9071,         67380
11-9081,         46300
11-9111,         81850
11-9121,        114560
11-9131,         58770
11-9141,         48460
11-9151,         56600
11-9199,         92600
13-0000,         58910
13-1011,         61890
13-1021,         53150
13-1022,         48650
13-1023,         54810
13-1031,         57130
13-1032,         55390
13-1041,         49750
13-1051,         57300
13-1061,         52590
13-1071,         46200
13-1072,         55620
13-1073,         52120
13-1079,         56440
13-1081,         67960
13-1111,         75250
13-1121,         44780
13-1199,         60610
13-2011,         60340
13-2021,         47840
13-2031,         66660
13-2041,         57470
13-2051,         73670
13-2052,         68200
13-2053,         57820
13-2061,         71750
13-2071,         37320
13-2072,         54880
13-2081,         48550
13-2082,         30060
13-2099,         58350
15-0000,         72900
15-1011,        101570
15-1021,         70940
15-1031,         87480
15-1032,         93470
15-1041,         44300
15-1051,         77080
15-1061,         71550
15-1071,         67710
15-1081,         73250
15-1099,         77010
15-2011,         87210
15-2021,         93580
15-2031,         70070
15-2041,         72820
15-2091,         41240
15-2099,         48210
17-0000,         68790
17-1011,         72700
17-1012,         60560
17-1021,         53050
17-1022,         54180
17-2011,         94780
17-2021,         69560
17-2031,         78860
17-2041,         88280
17-2051,         76590
17-2061,         98820
17-2071,         83110
17-2072,         89310
17-2081,         77040
17-2111,         74080
17-2112,         75110
17-2121,         74330
17-2131,         83190
17-2141,         77020
17-2151,         79440
17-2161,         96910
17-2171,        108910
17-2199,         89560
17-3011,         45600
17-3012,         52080
17-3013,         47790
17-3019,         45320
17-3021,         56960
17-3022,         45970
17-3023,         54820
17-3024,         48010
17-3025,         42350
17-3026,         46760
17-3027,         48970
17-3029,         57530
17-3031,         37190
19-0000,         58300
19-1011,         56960
19-1012,         59630
19-1013,         59180
19-1021,         82390
19-1022,         66580
19-1023,         56500
19-1029,         66510
19-1031,         60160
19-1032,         53840
19-1041,         61700
19-1042,         74590
19-1099,         63970
19-2011,        104720
19-2012,        106390
19-2021,         84710
19-2031,         68220
19-2032,         80300
19-2041,         61010
19-2042,         81220
19-2043,         73670
19-2099,         93950
19-3011,         86930
19-3021,         61580
19-3022,         35380
19-3031,         66040
19-3032,         83260
19-3039,         86540
19-3041,         69620
19-3051,         61820
19-3091,         53460
