OCC_CODE,sal13
00-0000,35080
11-0000,95600
11-1000,100310
11-1010,171610
11-1011,171610
11-1020,96430
11-1021,96430
11-1030,20620
11-1031,20620
11-2000,111390
11-2010,93880
11-2011,93880
11-2020,113590
11-2021,123220
11-2022,108540
11-2030,98700
11-2031,98700
11-3000,103170
11-3010,82310
11-3011,82310
11-3020,123950
11-3021,123950
11-3030,112700
11-3031,112700
11-3050,90790
11-3051,90790
11-3060,103780
11-3061,103780
11-3070,83890
11-3071,83890
11-3110,101490
11-3111,101490
11-3120,100800
11-3121,100800
11-3130,98810
11-3131,98810
11-9000,83630
11-9010,70110
11-9013,70110
11-9020,84410
11-9021,84410
11-9030,83850
11-9031,44890
11-9032,88380
11-9033,87410
11-9039,77380
11-9040,128170
11-9041,128170
11-9050,48080
11-9051,48080
11-9060,68420
11-9061,68420
11-9070,66200
11-9071,66200
11-9080,46830
11-9081,46830
11-9110,90940
11-9111,90940
11-9120,116840
11-9121,116840
11-9130,65150
11-9131,65150
11-9140,53200
11-9141,53200
11-9150,61160
11-9151,61160
11-9160,62780
11-9161,62780
11-9190,103530
11-9199,103530
13-0000,63800
13-1000,63140
13-1010,64490
13-1011,64490
13-1020,57640
13-1021,55450
13-1022,52370
13-1023,59780
13-1030,61220
13-1031,61190
13-1032,61660
13-1040,64340
13-1041,64340
13-1050,59460
13-1051,59460
13-1070,56350
13-1071,56630
13-1074,35430
13-1075,54630
13-1080,73400
13-1081,73400
13-1110,79870
13-1111,79870
13-1120,46260
13-1121,46260
13-1130,51580
13-1131,51580
13-1140,59820
13-1141,59820
13-1150,56850
13-1151,56850
13-1160,60800
13-1161,60800
13-1190,66090
13-1199,66090
13-2000,64900
13-2010,65080
13-2011,65080
13-2020,51030
13-2021,51030
13-2030,70110
13-2031,70110
13-2040,64030
13-2041,64030
13-2050,74590
13-2051,78380
13-2052,75320
13-2053,63780
13-2060,76890
13-2061,76890
13-2070,59090
13-2071,40280
13-2072,61420
13-2080,44210
13-2081,50610
13-2082,35310
13-2090,62510
13-2099,62510
15-0000,77860
15-1100,77840
15-1110,106290
15-1111,106290
15-1120,82080
15-1121,81190
15-1122,88590
15-1130,89180
15-1131,76140
15-1132,92660
15-1133,101410
15-1134,63160
15-1140,78890
15-1141,78520
15-1142,74000
15-1143,95380
15-1150,49170
15-1151,46620
15-1152,60180
15-1190,82340
15-1199,82340
15-2000,78450
15-2010,94340
15-2011,94340
15-2020,102440
15-2021,102440
15-2030,74630
15-2031,74630
15-2040,79290
15-2041,79290
15-2090,57630
15-2091,54230
15-2099,60820
17-0000,74530
17-1000,67510
17-1010,72640
17-1011,74110
17-1012,64790
17-1020,57130
17-1021,58840
17-1022,56590
17-2000,87290
17-2010,103870
17-2011,103870
17-2020,74450
17-2021,74450
17-2030,88670
17-2031,88670
17-2040,95730
17-2041,95730
17-2050,80770
17-2051,80770
17-2060,104250
17-2061,104250
17-2070,91340
17-2071,89180
17-2072,94250
17-2080,82220
17-2081,82220
17-2110,80190
17-2111,78820
17-2112,80300
17-2120,89550
17-2121,89550
17-2130,87330
17-2131,87330
17-2140,82100
17-2141,82100
17-2150,86870
17-2151,86870
17-2160,101600
17-2161,101600
17-2170,132320
17-2171,132320
17-2190,92680
17-2199,92680
17-3000,52450
17-3010,50810
17-3011,48800
17-3012,57250
17-3013,51520
17-3019,47680
17-3020,54540
17-3021,62680
17-3022,47780
17-3023,58540
17-3024,51330
17-3025,46160
17-3026,52020
17-3027,52390
17-3029,60560
17-3030,40670
17-3031,40670
19-0000,60860
19-1000,70260
19-1010,59550
19-1011,64260
19-1012,59630
19-1013,58990
19-1020,70800
19-1021,84320
19-1022,67840
19-1023,57430
19-1029,72720
19-1030,59380
19-1031,61220
19-1032,57110
19-1040,78840
19-1041,66330
19-1042,79840
19-1090,66930
19-1099,66930
19-2000,75530
19-2010,110130
19-2011,110450
19-2012,110110
19-2020,87030
19-2021,87030
19-2030,73470
19-2031,72350
19-2032,88660
19-2040,70780
19-2041,65090
19-2042,91920
19-2043,75710
19-2090,93230
19-2099,93230
19-3000,69900
19-3010,93070
19-3011,93070
19-3020,47720
19-3022,47720
19-3030,69500
19-3031,67760
19-3032,80330
19-3039,91140
19-3040,72430
19-3041,72430
19-3050,65650
19-3051,65650
19-3090,74860
19-3091,58360
19-3092,74750
19-3093,55180
19-3094,100920
19-3099,76770
19-4000,41940
19-4010,34790
19-4011,34790
19-4020,40710
19-4021,40710
19-4030,43310
19-4031,43310
19-4040,53410
19-4041,53410
19-4050,72610
19-4051,72610
19-4060,38310
19-4061,38310
19-4090,42290
19-4091,41700
19-4092,54360
19-4093,34910
19-4099,44200
21-0000,40810
21-1000,40810
21-1010,44270
21-1011,38620
21-1012,53600
21-1013,48160
21-1014,40580
21-1015,34230
21-1019,43620
21-1020,45050
21-1021,42120
21-1022,50820
21-1023,40970
21-1029,56510
21-1090,34340
21-1091,49210
21-1092,48440
21-1093,29230
21-1094,34610
21-1099,40050
21-2000,40880
21-2010,43800
21-2011,43800
21-2020,38160
21-2021,38160
21-2090,28750
21-2099,28750
23-0000,76100
23-1000,111610
23-1010,112820
23-1011,114300
23-1012,47640
23-1020,93520
23-1021,87190
23-1022,60450
23-1023,118150
23-2000,47340
23-2010,47570
23-2011,47570
23-2090,46870
23-2091,49560
23-2093,42830
23-2099,52560
25-0000,46140
25-1000,62920
25-1010,75120
25-1011,75120
25-1020,68680
25-1021,73100
25-1022,65930
25-1030,90640
25-1031,72550
25-1032,94460
25-1040,77270
25-1041,83060
25-1042,75740
25-1043,81630
25-1050,76860
25-1051,81640
25-1052,72670
25-1053,78490
25-1054,80590
25-1060,71430
25-1061,75930
25-1062,66770
25-1063,90070
25-1064,70500
25-1065,73760
25-1066,68980
25-1067,67940
25-1069,68230
25-1070,77060
25-1071,85030
25-1072,65940
25-1080,60770
25-1081,60170
25-1082,67740
25-1110,69220
25-1111,56980
25-1112,105080
25-1113,64280
25-1120,62440
25-1121,62830
25-1122,63570
25-1123,60920
25-1124,58620
25-1125,66790
25-1126,65540
25-1190,46480
25-1191,29950
25-1192,62740
25-1193,57690
25-1194,48300
25-1199,60670
25-2000,52430
25-2010,33400
25-2011,27570
25-2012,50230
25-2020,53710
25-2021,53590
25-2022,53940
25-2023,54270
25-2030,55330
25-2031,55360
25-2032,55120
25-2050,54900
25-2051,52070
25-2052,53910
25-2053,56300
25-2054,56920
25-2059,49970
25-3000,29990
25-3010,51110
25-3011,51110
25-3020,35500
25-3021,35500
25-3090,28310
25-3098,25830
25-3099,42970
25-4000,44980
25-4010,45970
25-4011,49110
25-4012,50550
25-4013,40020
25-4020,55690
25-4021,55690
25-4030,31280
25-4031,31280
25-9000,25920
25-9010,44360
25-9011,44360
25-9020,46370
25-9021,46370
25-9030,60610
25-9031,60610
25-9040,24000
