occ_code,sal07
00-0000,         31410
11-0000,         84440
11-1011,#
11-1021,         88700
11-1031,         16220
11-2011,         78250
11-2021,        104400
11-2022,         94910
11-2031,         86470
11-3011,         70990
11-3021,        108070
11-3031,         95310
11-3041,         81410
11-3042,         84340
11-3049,         92710
11-3051,         80560
11-3061,         85440
11-3071,         76310
11-9011,         53720
11-9012,         33360
11-9021,         76230
11-9031,         38580
11-9032,         80580
11-9033,         75780
11-9039,         69300
11-9041,        111020
11-9051,         44570
11-9061,         50370
11-9071,         64410
11-9081,         44240
11-9111,         76990
11-9121,        104040
11-9131,         57900
11-9141,         43670
11-9151,         54530
11-9199,         86680
13-0000,         55880
13-1011,         66440
13-1021,         48410
13-1022,         46960
13-1023,         52460
13-1031,         53560
13-1032,         51500
13-1041,         48400
13-1051,         54920
13-1061,         48380
13-1071,         44380
13-1072,         52180
13-1073,         49630
13-1079,         54280
13-1081,         64250
13-1111,         71150
13-1121,         43530
13-1199,         57090
13-2011,         57060
13-2021,         46130
13-2031,         63440
13-2041,         54580
13-2051,         70400
13-2052,         67660
13-2053,         54530
13-2061,         66670
13-2071,         36550
13-2072,         53000
13-2081,         46920
13-2082,         28510
13-2099,         55380
15-0000,         69070
15-1011,         97970
15-1021,         68080
15-1031,         83130
15-1032,         89070
15-1041,         42400
15-1051,         73090
15-1061,         67250
15-1071,         64690
15-1081,         68220
15-1099,         71510
15-2011,         85690
15-2021,         90870
15-2031,         66950
15-2041,         69900
15-2091,         38560
15-2099,         53860
17-0000,         64780
17-1011,         67620
17-1012,         57580
17-1021,         49970
17-1022,         51630
17-2011,         90930
17-2021,         67710
17-2031,         75440
17-2041,         81500
17-2051,         71710
17-2061,         91860
17-2071,         79240
17-2072,         83340
17-2081,         72350
17-2111,         69580
17-2112,         71430
17-2121,         76200
17-2131,         77170
17-2141,         72300
17-2151,         74330
17-2161,         94420
17-2171,        103960
17-2199,         85260
17-3011,         43310
17-3012,         49250
17-3013,         44740
17-3019,         44690
17-3021,         54930
17-3022,         42580
17-3023,         52140
17-3024,         46610
17-3025,         40690
17-3026,         47490
17-3027,         47280
17-3029,         56060
17-3031,         33640
19-0000,         55300
19-1011,         48360
19-1012,         57870
19-1013,         58000
19-1021,         79270
19-1022,         60680
19-1023,         55100
19-1029,         63340
19-1031,         56150
19-1032,         52440
19-1041,         60010
19-1042,         64200
19-1099,         59010
19-2011,         99020
19-2012,         96850
19-2021,         78390
19-2031,         63490
19-2032,         76160
19-2041,         58380
19-2042,         75800
19-2043,         68140
19-2099,         87660
19-3011,         80220
19-3021,         60300
19-3022,         36820
19-3031,         62210
19-3032,         80820
19-3039,         79570
19-3041,         61140
19-3051,         57970
19-3091,         53080
19-3092,         65690
19-3093,         50790
19-3094,         91580
19-3099,         67200
19-4011,         33630
19-4021,         37810
19-4031,         40740
19-4041,         50950
19-4051,         66140
19-4061,         35870
19-4091,         39370
19-4092,         47680
19-4093,         33520
19-4099,         38130
21-0000,         37170
21-1011,         35580
21-1012,         49450
21-1013,         43600
21-1014,         36000
21-1015,         29630
21-1019,         38680
21-1021,         38620
21-1022,         44670
21-1023,         36640
21-1029,         45800
21-1091,         42920
21-1092,         44510
21-1093,         26630
21-1099,         36420
21-2011,         40460
21-2021,         35370
21-2099,         26660
23-0000,         69760
23-1011,        106120
23-1021,         74170
23-1022,         48840
23-1023,        107230
23-2011,         44990
23-2091,         45330
23-2092,         37550
23-2093,         37200
23-2099,         48460
25-0000,         42580
25-1011,         64900
25-1021,         62020
25-1022,         58560
25-1031,         68540
25-1032,         79510
25-1041,         78460
25-1042,         71780
25-1043,         63790
25-1051,         73280
25-1052,         63870
25-1053,         64850
25-1054,         70090
25-1061,         64530
25-1062,         59150
25-1063,         75300
25-1064,         61310
25-1065,         63100
25-1066,         60610
25-1067,         58160
25-1069,         61190
25-1071,         80700
25-1072,         57500
25-1081,         54220
25-1082,         56810
25-1111,         51060
25-1112,         87730
25-1113,         56240
25-1121,         55190
25-1122,         54720
25-1123,         54000
25-1124,         53610
25-1125,         59160
25-1126,         56380
25-1191,         28060
25-1192,         58170
25-1193,         52170
25-1194,         45850
25-1199,         62760
25-2011,         23130
25-2012,         45120
25-2021,         47330
25-2022,         47900
25-2023,         46290
25-2031,         49420
25-2032,         50090
25-2041,         48350
25-2042,         48940
25-2043,         49640
25-3011,         44710
25-3021,         34580
25-3099,         30020
25-4011,         43110
25-4012,         46000
25-4013,         35350
25-4021,         50970
25-4031,         27680
25-9011,         42480
25-9021,         41830
25-9031,         55270
25-9041,         21580
25-9099,         33030
27-0000,         40100
27-1011,         72320
27-1012,         26200
27-1013,         42070
27-1014,         54550
27-1019,         44790
27-1021,         56550
27-1022,         62810
27-1023,         22540
27-1024,         41280
27-1025,         43970
27-1026,         24830
27-1027,         43220
27-1029,         43710
27-2011,*
27-2012,         61090
27-2021,         38440
27-2022,         27840
27-2023,         24770
27-2031,*
27-2032,         35580
27-2041,         40150
27-2042,*
27-2099,*
27-3011,         26060
27-3012,         25860
27-3021,         49060
27-3022,         34690
27-3031,         49800
27-3041,         48320
27-3042,         60390
27-3043,         50660
27-3091,         37490
27-3099,         41740
27-4011,         36050
27-4012,         32230
27-4013,         40210
27-4014,         46550
27-4021,         27720
27-4031,         41850
27-4032,         47870
27-4099,         51860
29-0000,         54440
29-1011,         65890
29-1021,        137630
29-1022,#
29-1023,#
29-1024,#
29-1029,        105440
29-1031,         49010
29-1041,         93800
29-1051,        100480
29-1061,#
29-1062,#
29-1063,#
29-1064,#
29-1065,        140690
29-1066,#
29-1067,#
29-1069,#
29-1071,         78450
29-1081,        110510
29-1111,         60010
29-1121,         59440
29-1122,         63790
29-1123,         69760
29-1124,         70010
29-1125,         36940
29-1126,         50070
29-1127,         60690
29-1129,         50120
29-1131,         75230
29-1199,         63730
29-2011,         51720
29-2012,         34270
29-2021,         64740
29-2031,         44940
29-2032,         59860
29-2033,         64670
29-2034,         50260
29-2041,         28400
29-2051,         24750
29-2052,         26720
29-2053,         29670
29-2054,         40590
29-2055,         37540
29-2056,         27970
29-2061,         37940
29-2071,         29290
29-2081,         31430
29-2091,         60520
29-2099,         36630
29-9011,         60140
29-9012,         44020
29-9091,         38360
29-9099,         40550
31-0000,         23820
31-1011,         20010
31-1012,         23160
31-1013,         25470
31-2011,         45050
31-2012,         26080
31-2021,         44130
31-2022,         22990
31-9011,         34870
31-9091,         31550
31-9092,         27430
31-9093,         27040
31-9094,         31250
31-9095,         19530
31-9096,         20770
31-9099,         28330
33-0000,         33510
33-1011,         55720
33-1012,         72620
33-1021,         65040
33-1099,         43010
33-2011,         43170
33-2021,         50830
33-2022,         31420
33-3011,         36900
33-3012,         36970
33-3021,         59930
33-3031,         47830
33-3041,         31470
33-3051,         49630
33-3052,         46360
33-9011,         29320
33-9021,         37640
33-9031,         27440
33-9032,         22570
33-9091,         22140
33-9092,         17980
33-9099,         28240
35-0000,         17150
35-1011,         37160
35-1012,         28040
35-2011,         16130
35-2012,         21340
35-2013,         24270
35-2014,         21220
35-2015,         18630
35-2019,         22120
35-2021,         18150
35-3011,         17090
35-3021,         15750
35-3022,         16890
35-3031,         15850
35-3041,         18850
35-9011,         16040
35-9021,         16410
35-9031,         16790
35-9099,         18580
37-0000,         21170
37-1011,         32850
37-1012,         38720
37-2011,         20800
37-2012,         18350
37-2019,         27080
37-2021,         29030
37-3011,         22240
37-3012,         28560
37-3013,         29800
37-3019,         21350
39-0000,         19760
39-1011,         42980
39-1012,         23760
39-1021,         33900
39-2011,         26190
39-2021,         18890
39-3011,         15610
39-3012,         19280
39-3019,         23070
39-3021,         18380
39-3031,         16340
39-3091,         16850
39-3092,         26290
39-3093,         19090
39-3099,         18840
39-4011,         36800
39-4021,         20950
39-5011,         23510
39-5012,         22210
39-5091,         35250
39-5092,         19960
39-5093,         16500
39-5094,         27190
39-6011,         19240
39-6012,         25540
39-6021,         22110
39-6022,         30650
39-6031,         31390
39-6032,         20310
39-9011,         18350
39-9021,         18480
39-9031,         27680
39-9032,         21220
39-9041,         23050
39-9099,         19180
41-0000,         23740
41-1011,         34470
41-1012,         67020
41-2011,         17160
41-2012,         20890
41-2021,         20070
41-2022,         28130
41-2031,         20150
41-3011,         42820
41-3021,         44110
41-3031,         68430
41-3041,         30130
41-3099,         48550
41-4011,         68270
41-4012,         50750
41-9011,         22570
41-9012,         22530
41-9021,         58860
41-9022,         40600
41-9031,         80270
41-9041,         21390
41-9091,         19400
41-9099,         34940
43-0000,         28920
43-1011,         44650
43-2011,         23460
43-2021,         31570
43-2099,         33760
43-3011,         29990
43-3021,         29970
43-3031,         31560
43-3041,         23510
43-3051,         33810
43-3061,         34120
43-3071,         22920
43-4011,         37360
43-4021,         29500
43-4031,         32330
43-4041,         29640
43-4051,         29040
