occ_code,sal2006
00-0000,         30400
11-0000,         80980
11-1011,#
11-1021,         85230
11-1031,         15660
11-2011,         73060
11-2021,         98720
11-2022,         91560
11-2031,         82180
11-3011,         67690
11-3021,        101580
11-3031,         90970
11-3041,         74750
11-3042,         80250
11-3049,         88510
11-3051,         77670
11-3061,         81570
11-3071,         73080
11-9011,         52070
11-9012,         37130
11-9021,         73700
11-9031,         37740
11-9032,         77740
11-9033,         73990
11-9039,         66620
11-9041,        105430
11-9051,         43020
11-9061,         49620
11-9071,         62820
11-9081,         42320
11-9111,         73340
11-9121,        100080
11-9131,         55790
11-9141,         43070
11-9151,         52070
11-9199,         82490
13-0000,         53690
13-1011,         64500
13-1021,         46770
13-1022,         44640
13-1023,         50730
13-1031,         50660
13-1032,         49180
13-1041,         47050
13-1051,         52940
13-1061,         47410
13-1071,         42420
13-1072,         50230
13-1073,         47830
13-1079,         52270
13-1081,         63430
13-1111,         68050
13-1121,         42180
13-1199,         55650
13-2011,         54630
13-2021,         44460
13-2031,         61430
13-2041,         52350
13-2051,         66590
13-2052,         66120
13-2053,         52350
13-2061,         65370
13-2071,         35790
13-2072,         51760
13-2081,         45620
13-2082,         27360
13-2099,         53680
15-0000,         66130
15-1011,         93950
15-1021,         65510
15-1031,         79780
15-1032,         85370
15-1041,         41470
15-1051,         69760
15-1061,         64670
15-1071,         62130
15-1081,         64600
15-1099,         68570
15-2011,         82800
15-2021,         86930
15-2031,         64650
15-2041,         65720
15-2091,         37880
15-2099,         63570
17-0000,         62390
17-1011,         64150
17-1012,         55140
17-1021,         48240
17-1022,         48290
17-2011,         87610
17-2021,         66030
17-2031,         73930
17-2041,         78860
17-2051,         68600
17-2061,         88470
17-2071,         75930
17-2072,         81050
17-2081,         69940
17-2111,         66290
17-2112,         68620
17-2121,         72990
17-2131,         73990
17-2141,         69850
17-2151,         72160
17-2161,         90220
17-2171,         98380
17-2199,         81660
17-3011,         41960
17-3012,         46830
17-3013,         43700
17-3019,         43060
17-3021,         53300
17-3022,         40560
17-3023,         50660
17-3024,         44720
17-3025,         40560
17-3026,         46810
17-3027,         45850
17-3029,         54250
17-3031,         32340
19-0000,         53010
19-1011,         47800
19-1012,         53810
19-1013,         56080
19-1021,         76320
19-1022,         57980
19-1023,         53300
19-1029,         60940
19-1031,         54970
19-1032,         51190
19-1041,         56670
19-1042,         61680
19-1099,         56970
