occ_code,sal2004
35-3022,         15660
35-3031,         14050
35-3041,         16540
35-9011,         14770
35-9021,         15280
35-9031,         15630
35-9099,         17180
37-0000,         19290
37-1011,         29510
37-1012,         35340
37-2011,         18790
37-2012,         16900
37-2019,         21160
37-2021,         26220
37-3011,         20420
37-3012,         25590
37-3013,         26150
37-3019,         19900
39-0000,         18050
39-1011,         40840
39-1012,         23010
39-1021,         30350
39-2011,         22050
39-2021,         17460
39-3011,         14340
39-3012,         18390
39-3019,         20820
39-3021,         17310
39-3031,         15190
39-3091,         15550
39-3092,         25050
39-3093,         17550
39-3099,         16930
39-4011,         35540
39-4021,         19250
39-5011,         21200
39-5012,         19800
39-5091,         24410
39-5092,         18500
39-5093,         14610
39-5094,         24010
39-6011,         17760
39-6012,         23370
39-6021,         19390
39-6022,         27460
39-6031,***
39-6032,         19070
39-9011,         16760
39-9021,         16900
39-9031,         25470
39-9032,         19320
39-9041,         21430
39-9099,         17950
41-0000,         21860
41-1011,         32720
41-1012,         59300
41-2011,         16240
41-2012,         20530
41-2021,         18280
41-2022,         25630
41-2031,         18680
41-3011,         40300
41-3021,         41720
41-3031,         69200
41-3041,         27640
41-3099,         47000
41-4011,         58580
41-4012,         45400
41-9011,         20700
41-9012,         21850
41-9021,         58720
41-9022,         35670
41-9031,         70620
41-9041,         20420
41-9091,         22570
41-9099,         31380
43-0000,         26710
43-1011,         41030
43-2011,         21580
43-2021,         28400
43-2099,         31680
43-3011,         27450
43-3021,         27040
43-3031,         28570
43-3041,         22330
43-3051,         30350
43-3061,         30890
43-3071,         21120
43-4011,         35240
43-4021,         28090
43-4031,         28430
43-4041,         29050
43-4051,         27020
43-4061,         33110
43-4071,         21030
43-4081,         17700
43-4111,         23670
43-4121,         20720
43-4131,         29000
43-4141,         26860
43-4151,         25110
43-4161,         31750
43-4171,         21830
43-4181,         27750
43-4199,         32110
43-5011,         34250
43-5021,         20190
43-5031,         28930
43-5032,         30920
43-5041,         29440
43-5051,         40950
43-5052,         44450
43-5053,         39430
43-5061,         36340
43-5071,         24400
43-5081,         20100
43-5111,         24570
43-6011,         34970
43-6012,         36720
43-6013,         26540
43-6014,         26110
43-9011,         31070
43-9021,         23250
43-9022,         28030
43-9031,         32340
43-9041,         29240
43-9051,         22380
43-9061,         22770
43-9071,         23210
43-9081,         25330
43-9111,         30270
43-9199,         25410
45-0000,         17110
45-1011,         35490
45-1012,         17510
45-2011,         31040
45-2021,         28180
45-2041,         16430
45-2091,         18460
45-2092,         16030
45-2093,         17270
45-2099,         21120
45-3011,         24100
45-4011,         19780
45-4021,         27530
45-4022,         27410
45-4023,         25560
45-4029,         29730
47-0000,         34060
47-1011,         50450
47-2011,         45100
47-2021,         41740
47-2022,         34980
47-2031,         34900
47-2041,         34090
47-2042,         32600
47-2043,         26790
47-2044,         35410
47-2051,         31400
47-2053,         27980
47-2061,         25160
47-2071,         29990
47-2072,         44290
47-2073,         35360
47-2081,         34030
47-2082,         39070
47-2111,         42300
47-2121,         32650
47-2131,         30310
47-2132,         33330
47-2141,         30260
47-2142,         32730
47-2151,         28450
47-2152,         41290
47-2161,         32440
47-2171,         35160
47-2181,         30840
47-2211,         35560
47-2221,         42430
47-3011,         24950
47-3012,         21590
47-3013,         23420
47-3014,         20540
47-3015,         22360
47-3016,         20660
47-3019,         20620
47-4011,         43670
47-4021,         58710
47-4031,         23380
47-4041,         33320
47-4051,         29550
47-4061,         38160
47-4071,         28870
47-4091,         24430
47-4099,         23720
47-5011,         33510
47-5012,         35590
47-5013,         30670
47-5021,         33420
47-5031,         35700
47-5041,         37170
47-5042,         37360
47-5049,         34220
47-5051,         26080
47-5061,         38890
47-5071,         24840
47-5081,         26320
47-5099,         32570
49-0000,         35180
49-1011,         50340
49-2011,         35150
49-2021,         36720
49-2022,         49840
49-2091,         44310
49-2092,         32320
49-2093,         40040
49-2094,         42600
49-2095,         53790
49-2096,         26610
49-2097,         27960
49-2098,         33410
49-3011,         45290
49-3021,         34690
49-3022,         27970
49-3023,         32450
49-3031,         35780
49-3041,         27860
49-3042,         38150
49-3043,         40510
49-3051,         30660
49-3052,         28500
49-3053,         24910
