OCC_CODE,sal2011
00-0000,34460
11-0000,92880
11-1011,166910
11-1021,95150
11-1031,19630
11-2011,87650
11-2021,116010
11-2022,101640
11-2031,93310
11-3011,79540
11-3021,118010
11-3031,107160
11-3051,88190
11-3061,97130
11-3071,80860
11-3111,92290
11-3121,99130
11-3131,91740
11-9013,64660
11-9021,84240
11-9031,43830
11-9032,87470
11-9033,84280
11-9039,76730
11-9041,122190
11-9051,48110
11-9071,67230
11-9081,47450
11-9111,86400
11-9121,114770
11-9131,62920
11-9141,52510
11-9151,58660
11-9161,57270
11-9199,99540
13-0000,61700
13-1011,64790
13-1021,55860
13-1022,50490
13-1023,57580
13-1031,59320
13-1032,57020
13-1041,60740
13-1051,58460
13-1074,29150
13-1078,54310
13-1081,71910
13-1111,78490
13-1121,46020
13-1141,57960
13-1151,55150
13-1161,60250
13-1199,64030
13-2011,62850
13-2021,48870
13-2031,69090
13-2041,60730
13-2051,75650
13-2052,66580
13-2053,60830
13-2061,75250
13-2071,38430
13-2072,58030
13-2081,50130
13-2082,32320
13-2099,59810
15-0000,75080
15-1111,101080
15-1121,78770
15-1131,72630
15-1132,89280
15-1133,96600
15-1141,75190
15-1142,70970
15-1150,47660
15-1179,77990
15-1799,79930
15-2011,91060
15-2021,101040
15-2031,71950
15-2041,73880
15-2091,46420
15-2099,56060
17-0000,72070
17-1011,73340
17-1012,63240
17-1021,55970
17-1022,55590
17-2011,102420
17-2021,74630
17-2031,84670
17-2041,92930
17-2051,77990
17-2061,98610
17-2071,85920
17-2072,91500
17-2081,79050
17-2111,75470
17-2112,77240
17-2121,84850
17-2131,84550
17-2141,79230
17-2151,84300
17-2161,101930
17-2171,122280
17-2199,90580
17-3011,47250
17-3012,54470
17-3013,49200
17-3019,45600
17-3021,61460
17-3022,46900
17-3023,56900
17-3024,51220
17-3025,44850
17-3026,49090
17-3027,51350
17-3029,58670
17-3031,39350
19-0000,59330
19-1011,61230
19-1012,58340
19-1013,58940
19-1021,79230
19-1022,65230
19-1023,57420
19-1029,70790
19-1031,59530
19-1032,55190
19-1041,64220
19-1042,76130
19-1099,64370
19-2011,95500
19-2012,106360
19-2021,89790
19-2031,69760
19-2032,84600
19-2041,62920
19-2042,84470
19-2043,75680
19-2099,94990
19-3011,90550
19-3022,40150
19-3031,67880
19-3032,94720
19-3039,90010
19-3041,73670
19-3051,64100
19-3091,56070
19-3092,74760
19-3093,52370
19-3094,103860
19-3099,75160
19-4011,33550
19-4021,39480
19-4031,42070
19-4041,49690
19-4051,68030
19-4061,38800
19-4091,42270
19-4092,52180
19-4093,34900
19-4099,43120
21-0000,39880
21-1011,38560
21-1012,54130
21-1013,46240
21-1014,39190
21-1015,33740
21-1019,42030
21-1021,40680
21-1022,48620
21-1023,39230
21-1029,53900
21-1091,47940
21-1092,47840
21-1093,28740
21-1798,37840
21-2011,44140
21-2021,36470
21-2099,26150
23-0000,75470
23-1011,113310
23-1012,42450
23-1021,85190
23-1022,60440
23-1023,120130
23-2011,46730
23-2091,48530
23-2093,40760
23-2099,52390
25-0000,46060
25-1011,74770
25-1021,73090
25-1022,66680
25-1031,73070
25-1032,90680
25-1041,79900
25-1042,74110
25-1043,80330
25-1051,83140
25-1052,70960
25-1053,75050
25-1054,77540
25-1061,75460
25-1062,69130
25-1063,85310
25-1064,68510
25-1065,71470
25-1066,68150
25-1067,66250
25-1069,71600
25-1071,79860
25-1072,63900
25-1081,59380
25-1082,65110
25-1111,59480
25-1112,93330
25-1113,63480
25-1121,62330
25-1122,61330
25-1123,61410
25-1124,59630
25-1125,65860
25-1126,65100
25-1191,31230
25-1192,64540
25-1193,57840
25-1194,48790
25-1199,64310
25-2011,26620
25-2012,49520
25-2021,52840
25-2022,53130
25-2023,54050
25-2031,54270
25-2032,54660
25-2041,53440
25-2053,55000
25-2054,55990
25-3011,47370
25-3021,36100
25-3999,29290
25-4011,46750
25-4012,48800
25-4013,38010
25-4021,55300
25-4031,30430
25-9011,44580
25-9021,45430
25-9031,59280
25-9041,23580
25-9099,35970
27-0000,43640
27-1011,81260
27-1012,26650
27-1013,44600
27-1014,60830
27-1019,58040
27-1021,60760
27-1022,64690
27-1023,23600
27-1024,44010
27-1025,47620
27-1026,26190
27-1027,48480
27-1029,45590
27-2011,*
27-2012,70660
27-2021,39670
27-2022,28470
27-2023,23190
27-2031,*
27-2032,39600
27-2041,47410
27-2042,*
27-2099,*
27-3011,27280
27-3012,25990
27-3021,55720
27-3022,34870
27-3031,53190
27-3041,52380
27-3042,64610
27-3043,55870
27-3091,44160
27-3099,43580
27-4011,41630
27-4012,36570
27-4013,44810
27-4014,46750
27-4021,28860
27-4031,40170
27-4032,52940
27-4099,69160
29-0000,59570
29-1011,66060
29-1021,142740
29-1022,#
29-1023,#
29-1024,109300
29-1029,162260
29-1031,54470
29-1041,94690
29-1051,113390
29-1061,#
29-1062,167000
29-1063,183170
29-1064,#
29-1065,158170
29-1066,170350
29-1067,#
29-1069,#
29-1071,88660
29-1081,119250
29-1111,65950
29-1122,73820
29-1123,78270
29-1124,76630
29-1125,41060
29-1126,55250
29-1127,69100
